stepIdx	time_s	pureY	pureZ	zEnergyFrac	zEF_avg5	procRmsZ	stepFreqHz	rmsZdivFreq	stepVarH	dmag	recentStepVarYZ	varYZRatio	dmagRatio	zfRatio	freqRatio	energyFracZ	zPeakYRatio	stairConfidence	fsmLabel	armSpin	floorGT
28	18.516	0.167662	2.43147	0.935493	0.831812	2.42284	1.85529	1.30591	4.12495	1.04926	3.21954	1.73834	0.430756	0.990588	1.00942	0.586358	0.208954	0.227766	stair	0	ground
29	19.016	0.7946	3.57692	0.818232	0.880268	3.87036	1.73611	2.22933	5.58509	1.3058	2.55005	1.37686	0.536075	1.69104	0.944581	0.724861	0.320516	0.343584	stair	0	ground
30	19.554	0.852442	0.417145	0.328567	0.767508	2.63173	2.079	1.26586	7.27627	3.16031	1.6905	0.912761	1.29741	0.960211	1.13114	0.485751	0.318722	0.247741	stair	0	ground
31	20.092	0.908581	7.8906	0.896742	0.77332	5.29552	1.67504	3.16143	6.06762	7.47366	6.06472	3.27457	3.06819	2.39808	0.911354	0.821864	0.0648417	0.535326	stair	0	ground
32	20.533	-1.12958	1.57026	0.581611	0.712129	6.07597	2.36967	2.56406	3.98624	6.64084	7.22236	3.89962	2.72629	1.94495	1.28929	0.902192	0.0681138	0.637732	stair	0	ground
33	21.149	1.9388	9.40706	0.829118	0.690854	6.18591	1.57729	3.92187	6.92835	8.41607	13.3217	7.19285	3.45508	2.9749	0.858168	0.84514	0.214629	0.972025	stair	0	ground
34	21.726	0.452513	2.1487	0.826037	0.692415	3.88825	2.47525	1.57085	3.1308	7.40897	14.2188	7.67726	3.04163	1.19156	1.34673	0.827825	0.270188	0.776909	stair	0	ground
35	22.244	0.435416	3.12023	0.877542	0.80221	5.67842	1.44718	3.92379	7.89371	0.971679	11.1904	6.04211	0.398907	2.97636	0.787379	0.802294	0.237739	1	stair	0	ground
36	22.822	0.497336	1.61247	0.764274	0.775717	2.94643	1.92678	1.5292	5.87303	1.50903	9.76759	5.27388	0.619507	1.15996	1.04832	0.593338	0.271688	0.847569	stair	0	ground
37	23.34	1.21168	2.65173	0.68637	0.796668	4.94343	1.7331	2.85236	4.76462	1.26109	8.49706	4.58787	0.517719	2.16364	0.942944	0.835525	0.306337	0.926586	stair	0	ground
38	23.898	0.912951	3.76606	0.804883	0.791821	2.80577	2	1.40288	4.35218	1.15368	0.654692	0.353492	0.473624	1.06415	1.08816	0.64397	0.195309	0.710977	stair	0	ground
39	24.436	1.31263	1.16778	0.470802	0.720774	3.67765	1.67785	2.19188	6.24845	2.62883	1.04174	0.562471	1.07923	1.66264	0.912884	0.682775	0.172118	0.698891	stair	0	ground
40	24.993	0.564006	1.53851	0.731746	0.691615	2.48494	1.8622	1.33441	4.12672	0.835385	1.00671	0.543559	0.342954	1.01221	1.01318	0.599343	0.372093	0.527221	stair	0	ground
41	25.532	1.58279	1.62451	0.506503	0.640061	3.03905	1.79211	1.69579	5.6166	1.02241	1.01796	0.549636	0.419735	1.28633	0.975051	0.6206	0.256543	0.466998	stair	0	ground
42	26.089	1.0407	1.87275	0.642794	0.631346	1.60455	1.92678	0.83276	4.51081	0.596228	0.95682	0.516622	0.244772	0.631684	1.04832	0.361313	0.437069	0.25817	stair	0	ground
43	26.608	0.194666	3.15902	0.941954	0.65876	3.06999	1.79533	1.70999	5.77371	1.53957	0.716775	0.387013	0.632044	1.2971	0.976802	0.619704	0.339065	0.267902	stair	0	ground
44	27.184	0.430165	3.68233	0.8954	0.74368	2.33025	1.92308	1.21173	4.77021	0.573859	1.01232	0.546586	0.235588	0.919151	1.04631	0.532302	0.427864	0.180714	stair	0	ground
45	27.704	1.42513	1.56565	0.523493	0.702029	2.93227	1.73611	1.68899	4.95355	2.33886	1.05363	0.568894	0.960182	1.28117	0.944581	0.628377	0.35688	0.205828	stair	0	ground
46	28.205	-0.084523	0.84601	0.909166	0.782562	2.04157	2	1.02079	4.381	1.6724	1.39868	0.755198	0.686579	0.77431	1.08816	0.477911	0.154951	0	stair	0	ground
47	28.76	0.927908	2.61897	0.738387	0.80168	3.49167	1.79533	1.94486	5.35724	2.04167	1.36479	0.736902	0.838173	1.47526	0.976802	0.694402	0.313343	0.192276	stair	0	ground
48	29.318	0.750157	0.567957	0.430886	0.699467	2.25111	1.92308	1.17058	3.4293	2.0587	1.58982	0.8584	0.845167	0.887934	1.04631	0.596194	0.361913	0.11619	stair	0	ground
