stepIdx	time_s	pureY	pureZ	zEnergyFrac	zEF_avg5	procRmsZ	stepFreqHz	rmsZdivFreq	stepVarH	dmag	recentStepVarYZ	varYZRatio	dmagRatio	zfRatio	freqRatio	energyFracZ	zPeakYRatio	stairConfidence	fsmLabel	armSpin	floorGT
28	15.6	-0.019164	1.24446	0.984833	0.939667	1.78515	1.78571	0.999685	0.186512	0.706914	0.149638	1.71257	1.75405	1.0149	0.990531	0.94462	0.129195	0	ground	0	ground
29	16.16	0.0938596	1.31001	0.933142	0.92759	1.7441	1.85185	0.941814	0.201107	0.13066	0.0995217	1.12339	0.347701	0.960358	1.02443	0.937913	0.117855	0	ground	0	ground
30	16.72	0.0346156	1.41868	0.976181	0.938333	1.76668	1.72414	1.02468	0.179934	0.123766	0.0872079	0.985928	0.353033	1.04019	0.958208	0.94549	0.113031	0	ground	0	ground
31	17.28	0.611022	1.45702	0.70454	0.900009	1.80643	1.85185	0.97547	0.21561	0.57768	0.132478	1.42672	1.54754	0.991203	1.02619	0.937822	0.102512	0	ground	0	ground
32	17.84	-0.375874	1.60443	0.810193	0.881778	1.75221	1.78571	0.981236	0.170885	0.997844	0.115743	1.21651	2.28997	0.997355	0.990577	0.947276	0.105832	0	ground	0	ground
33	18.38	-0.333523	1.02854	0.755133	0.835838	1.75577	1.78571	0.98323	0.192944	0.577446	0.164118	1.60835	1.28345	0.999444	0.991512	0.94108	0.0948558	0	ground	0	ground
34	18.94	-0.114039	0.971729	0.894968	0.828203	1.70823	1.78571	0.956611	0.20511	0.226716	0.189308	1.70905	0.530212	0.975079	0.992354	0.934196	0.0644516	0	ground	0	ground
35	19.5	0.494764	1.3595	0.733175	0.779602	1.7264	1.78571	0.966783	0.193371	0.721811	0.23376	1.89945	1.5794	0.986883	0.993113	0.939059	0.07199	0	ground	0	ground
36	20.06	-0.327716	1.7037	0.838675	0.806429	1.70968	1.85185	0.923227	0.182593	0.891595	0.19331	1.48595	1.7815	0.947879	1.02683	0.941036	0.0676916	0	ground	0	ground
37	20.6	0.0229868	1.43024	0.984182	0.841227	1.79187	1.78571	1.00345	0.209711	0.444711	0.165724	1.23994	0.898591	1.02714	0.991129	0.93869	0.0623353	0	ground	0	ground
38	21.16	-0.0409167	1.37477	0.971097	0.884419	1.7751	1.78571	0.994056	0.2084	0.0846247	0.128173	0.962937	0.186451	1.01574	0.992009	0.937862	0.0654531	0	ground	0	ground
39	21.72	-0.177493	1.24888	0.875563	0.880538	1.74051	1.78571	0.974687	0.155295	0.185745	0.100251	0.772223	0.434941	0.996354	0.992803	0.951156	0.0817372	0	ground	0	ground
40	22.28	0.281996	1.56911	0.84766	0.903435	1.73615	1.85185	0.937523	0.156865	0.560068	0.0665736	0.539074	1.27184	0.962371	1.02654	0.950415	0.0557671	0	ground	0	ground
41	22.82	0.306397	0.842926	0.73341	0.882382	1.7677	1.78571	0.989912	0.160004	0.726591	0.0964985	0.798853	1.54929	1.01451	0.990878	0.951289	0.0571306	0	ground	0	ground
42	23.38	0.283229	1.24671	0.814875	0.848521	1.79345	1.78571	1.00433	0.202332	0.404451	0.0968736	0.818161	0.874433	1.02628	0.991783	0.940805	0.0969154	0	ground	0	ground
43	23.94	0.502763	1.26896	0.716229	0.797547	1.69312	1.78571	0.94815	0.214234	0.220658	0.103643	0.886384	0.503392	0.971898	0.992599	0.930419	0.0952699	0	ground	0	ground
44	24.5	-0.217514	1.59363	0.879902	0.798415	1.7955	1.85185	0.969568	0.200312	0.790067	0.131459	1.11047	1.66852	0.994464	1.02635	0.941493	0.127197	0	ground	0	ground
45	25.06	0.208938	1.65635	0.887986	0.80648	1.74202	1.78571	0.97553	0.198286	0.43104	0.141294	1.17089	0.918539	1.00052	0.990714	0.938544	0.108511	0	ground	0	ground
46	25.6	-0.360903	1.42573	0.797998	0.819398	1.75857	1.78571	0.984801	0.191965	0.614741	0.131345	1.0789	1.27061	1.00902	0.991635	0.9415	0.103666	0	ground	0	ground
47	26.16	-0.0964318	0.946767	0.907561	0.837935	1.77925	1.78571	0.996381	0.146287	0.547129	0.161424	1.28412	1.11626	1.01876	0.992465	0.955831	0.119449	0	ground	0	ground
48	26.72	0.0569759	1.53627	0.964239	0.887537	1.78052	1.78571	0.997092	0.187761	0.60914	0.104628	0.846501	1.21332	1.0175	0.993213	0.944041	0.14242	0	ground	0	ground
49	27.28	-0.580659	1.50534	0.72164	0.855884	1.77484	1.85185	0.958416	0.137345	0.638384	0.140973	1.12475	1.23795	0.980185	1.02692	0.958119	0.156464	0	ground	0	ground
50	27.82	0.82436	1.41877	0.632495	0.804786	1.79468	1.72414	1.04092	0.162222	1.40768	0.277027	1.97163	2.32721	1.05773	0.960313	0.952047	0.0843453	0	ground	0	ground
