time_s	globalX	globalY	globalZ	pureX	pureY	pureZ	localFwdY	localLatX	varYZRatio	dmagRatio	zfRatio	freqRatio	stairConfidence	rmsZdivFreq	stepVarH	stepFreqHz	procRmsZ	dmag	recentStepVarYZ	dirR1	energyFracZ	zPeakYRatio	envZ	envH	stairScore	fsmLabel	armSpin	floorGT	isStep	stepIdx	totalSteps
0.473	1.96375	-0.732259	-0.40713	2.15942	-0.986015	0.691588	-0.552397	2.30872	1	1	1	1	0	0	0	0	0	0	99	3.03129e-314	0	0	1.23456	0.833588	0.40097	ground	0	ground	0	-1	0
0.492	2.82305	-1.62256	-0.640281	3.00363	-1.86694	0.456145	-1.18224	3.3331	1	1	1	1	0	0	0	0	0	0	99	3.03129e-314	0	0	1.19564	0.968736	0.226901	ground	0	ground	0	-1	0
0.512	2.42877	-1.9449	-1.38621	2.59631	-2.17832	-0.288339	-1.53144	3.02335	1	1	1	1	0	0	0	0	0	0	99	3.03129e-314	0	0	1.15027	1.08975	0.0605185	ground	0	ground	0	-1	0
0.534	1.66045	-1.59742	-1.48989	1.81885	-1.82169	-0.390059	-1.33322	2.20212	1	1	1	1	0	0	0	0	0	0	99	3.03129e-314	0	0	1.11226	1.16398	-0.0517171	ground	0	ground	0	-1	0
0.553	0.859578	-0.79674	-1.06757	1.01289	-1.01591	0.0321084	-0.741143	1.2283	1	1	1	1	0	0	0	0	0	0	99	3.03129e-314	0	0	1.05825	1.17751	-0.119255	ground	0	ground	0	-1	0
0.573	0.288017	-0.224177	-1.20949	0.439118	-0.441129	-0.109272	-0.322964	0.532084	1	1	1	1	0	0	0	0	0	0	99	3.03129e-314	0	0	1.0108	1.14975	-0.13895	ground	0	ground	0	-1	0
0.593	-0.241769	-0.020263	-1.81465	-0.0902147	-0.236029	-0.71085	-0.250744	-0.0312397	1	1	1	1	0	0	0	0	0	0	99	3.03129e-314	0	0	0.995807	1.1049	-0.109094	ground	0	ground	0	-1	0
0.613	-0.611358	0.01214	-2.16703	-0.457505	-0.202608	-1.05792	-0.306677	-0.39536	1	1	1	1	0	0	0	0	0	0	99	3.03129e-314	0	0	0.998913	1.07467	-0.0757614	ground	0	ground	0	-1	0
0.633	-0.502662	-0.41166	-2.35582	-0.347065	-0.623276	-1.24048	-0.689041	-0.184793	1	1	1	1	0	0	0	0	0	0	99	3.03129e-314	0	0	1.01099	1.05661	-0.045619	ground	0	ground	0	-1	0
0.653	-0.208957	-0.231665	-1.6576	-0.0530928	-0.441064	-0.53954	-0.440371	0.0585632	1	1	1	1	0	0	0	0	0	0	99	3.03129e-314	0	0	0.987418	1.02599	-0.0385734	ground	0	ground	0	-1	0
0.673	-0.14707	0.204481	-0.407409	0.00875023	-0.00489375	0.707093	-0.00252092	0.00970362	1	1	1	1	0	0	0	0	0	0	99	3.03129e-314	0	0	0.973402	0.975194	-0.00179135	ground	0	ground	0	-1	0
0.693	0.265391	-0.162488	-0.306354	0.419105	-0.370003	0.804108	-0.248294	0.500901	1	1	1	1	0	0	0	0	0	0	99	3.03129e-314	0	0	0.964937	0.954387	0.0105504	ground	0	ground	0	-1	0
0.712	0.50564	-0.307461	-0.69612	0.656057	-0.512402	0.41227	-0.319341	0.768757	1	1	1	1	0	0	0	0	0	0	99	3.03129e-314	0	0	0.937304	0.94829	-0.0109859	ground	0	ground	0	-1	0
