dataset	stepIdx	gt	nSamples	trajAngle	aspectRatio	zRange	yRange	zDominance	netZ	netY	loopArea	rmsY	rmsZ
일반보행	50	ground	27	76.5341	4.0117	7.2518	2.7239	0.7269	0.6923	-0.7017	6.4588	0.7622	2.0884
일반보행	51	ground	32	81.0701	2.3768	4.3402	2.0890	0.6751	-0.1541	1.1720	4.0766	0.6953	1.4287
일반보행	52	ground	26	84.9910	3.9997	5.4863	1.7523	0.7579	-0.8448	-0.7581	0.1298	0.4341	1.5026
일반보행	53	ground	30	85.7802	2.7771	6.2901	2.4248	0.7218	1.6128	0.7430	7.8637	0.7003	1.8952
일반보행	54	ground	26	77.6281	4.4948	7.3659	2.3424	0.7587	-1.0923	-0.9178	0.3696	0.6826	2.0419
일반보행	55	ground	30	87.6775	2.7346	5.1409	2.1775	0.7025	0.8831	0.7963	4.9184	0.6375	1.6259
일반보행	56	ground	27	80.1654	5.2419	7.0007	2.0150	0.7765	-0.2553	-0.2271	0.3059	0.5060	1.9123
일반보행	57	ground	29	80.8324	3.7840	6.3456	2.1929	0.7432	1.2285	0.1047	3.5331	0.6181	1.9798
일반보행	58	ground	26	70.2231	3.9003	7.2088	3.8441	0.6522	-1.0665	-0.5328	1.2095	0.9610	2.1846
일반보행	59	ground	31	72.3456	2.7288	5.3886	3.1081	0.6342	1.0895	1.2768	5.5563	0.8419	1.7360
일반보행	60	ground	27	72.5679	4.2679	7.3156	2.6118	0.7369	-1.2738	-1.8608	3.1578	0.7712	1.9391
일반보행	61	ground	29	82.4046	2.7023	6.7526	2.7010	0.7143	-0.2183	1.6217	7.2417	0.8435	1.8878
일반보행	62	ground	26	71.6537	3.8554	6.6602	3.0670	0.6847	-0.1128	-0.7347	3.0514	0.7669	1.7815
일반보행	63	ground	30	86.4522	2.6584	5.0091	2.0330	0.7113	0.4364	0.2334	4.9342	0.6418	1.5306
일반보행	64	ground	27	77.0711	4.4594	8.0644	3.0540	0.7253	-0.8477	-0.6520	2.8245	0.6535	1.9828
일반보행	65	ground	30	87.5497	2.8231	5.5647	1.9408	0.7414	0.5228	1.3034	3.6512	0.8999	1.6646
일반보행	66	ground	31	68.3353	2.6571	7.2411	3.4310	0.6785	-0.6129	-0.7872	0.5893	0.8854	1.6142
일반보행	67	ground	27	67.0545	2.6016	6.7263	3.7182	0.6440	0.2990	-0.3583	11.6855	1.0733	1.6856
일반보행	68	ground	30	85.6649	3.8209	7.4095	2.2645	0.7659	-0.0906	-0.5837	0.6007	0.7037	2.0068
일반보행	69	ground	31	84.3001	2.6014	7.3505	4.0248	0.6462	1.2668	2.2518	1.9354	0.9022	2.0363
일반보행	70	up	26	83.2979	1.9738	5.4391	2.9662	0.6471	-0.8844	-1.3344	2.3641	0.7915	1.5749
일반보행	71	up	33	72.4982	2.1727	4.3483	3.3400	0.5656	-0.2693	-0.4188	4.6851	0.7726	1.3959
일반보행	72	up	29	83.1691	2.9029	6.3177	2.7207	0.6990	0.1705	0.1347	7.6362	0.7776	1.7676
일반보행	73	up	31	80.4685	2.2814	3.8893	2.6521	0.5946	0.0922	0.4846	5.7537	0.5943	1.1172
일반보행	74	up	27	89.0493	2.1163	6.0060	2.9243	0.6725	-0.7260	-1.3847	6.0155	0.8561	1.6262
일반보행	75	up	30	85.0580	2.5658	5.3033	2.5425	0.6759	0.1384	1.0915	4.3236	0.6000	1.5200
일반보행	76	up	29	78.8389	4.0566	5.5233	2.0440	0.7299	0.1555	-0.1738	4.6550	0.5778	1.6285
일반보행	77	up	32	84.9815	2.6482	5.2493	2.2486	0.7001	0.2894	0.1610	6.1076	0.5693	1.3967
일반보행	78	up	31	87.1260	5.1520	5.2986	1.2356	0.8109	0.2669	-0.1632	2.6540	0.3785	1.5284
일반보행	79	up	31	87.3452	3.2278	6.4453	2.5211	0.7188	0.1128	0.3233	5.6210	0.6475	1.7801
일반보행	80	up	34	73.6739	3.9381	4.3546	2.3803	0.6466	0.0545	-0.7814	2.5741	0.6959	1.4868
일반보행	81	up	28	87.1133	3.4442	6.2821	2.3891	0.7245	-0.6551	0.6542	6.4600	0.6900	2.0384
일반보행	82	ground	39	81.9062	2.1965	5.0556	2.3826	0.6797	0.7565	-0.9476	3.6481	0.8601	1.3689
일반보행	83	ground	31	87.8703	2.1948	4.2862	2.0300	0.6786	0.2948	0.4067	4.3357	0.6067	1.3071
일반보행	84	ground	26	87.4966	2.5784	4.9007	2.0410	0.7060	-1.0665	0.0188	2.9571	0.9004	1.4254
일반보행	85	ground	33	76.4864	2.4589	5.3505	2.8762	0.6504	0.6789	0.1804	1.8460	0.6941	1.4549
일반보행	86	ground	27	76.0520	2.7468	5.5453	3.3002	0.6269	0.1800	0.2399	6.7333	0.9337	1.5575
일반보행	87	ground	29	86.0056	2.4615	5.0201	2.4096	0.6757	-0.7873	-0.0912	8.8283	0.6215	1.4355
일반보행	88	up	37	72.5054	2.0524	6.3937	3.6826	0.6345	-0.1387	0.7874	4.8768	0.8367	1.4497
일반보행	89	up	31	81.8779	2.6977	5.8498	2.3219	0.7159	-0.3086	0.0553	6.5451	0.8385	1.4073
일반보행	90	up	34	75.2162	2.5047	5.9456	3.4428	0.6333	1.0297	0.0987	10.9148	0.7621	1.5554
일반보행	91	up	30	83.9962	2.2264	5.3946	2.8359	0.6554	-0.3975	-1.1864	7.7321	0.8110	1.4383
일반보행	92	up	30	84.4395	4.0703	5.8423	1.6386	0.7810	0.2753	0.4400	2.6191	0.5100	1.7379
일반보행	93	up	30	81.5232	4.5719	5.9560	2.1295	0.7366	-0.1595	0.0148	4.2285	0.7034	2.0828
일반보행	94	up	31	86.0377	4.4663	6.7582	1.9055	0.7801	0.4955	-0.0131	0.2440	0.5320	2.1223
일반보행	95	up	33	82.3051	3.7084	6.7839	2.7347	0.7127	-0.7232	-0.7034	7.9297	0.6782	2.1476
일반보행	96	up	31	84.8143	3.7557	6.6265	2.4724	0.7283	-0.1065	0.2295	2.7339	0.6592	2.0940
일반보행	97	up	30	82.8372	3.0881	6.3421	2.8077	0.6931	-0.0633	0.1092	8.7316	0.8058	1.9920
일반보행	98	up	33	82.2735	3.3133	6.2372	2.4574	0.7174	0.0417	-0.4871	2.2449	0.6146	1.6711
일반보행	99	ground	35	84.8893	4.8318	8.8011	2.7775	0.7601	0.4079	0.2715	11.2606	0.5427	2.3903
일반보행	100	ground	28	77.1710	4.6474	6.2043	2.0448	0.7521	-0.6965	0.3313	3.5210	0.9130	1.7729
일반보행	101	ground	34	79.0366	1.9145	5.9638	3.1126	0.6571	-0.8811	0.5823	6.3314	0.9758	1.6072
일반보행	102	ground	26	81.0866	3.8727	7.4745	2.2975	0.7649	1.2730	-0.6796	1.3790	0.6283	1.8891
일반보행	103	ground	30	80.3000	2.4314	6.6371	2.3041	0.7423	0.9416	0.5841	6.5282	0.7376	1.6269
일반보행	104	ground	27	72.0922	4.9217	7.8134	3.1915	0.7100	-1.2337	-0.4956	1.4935	0.8055	2.1029
일반보행	105	ground	31	81.0437	2.8036	6.7861	2.9889	0.6942	1.1657	0.9466	8.5710	1.0802	1.7933
일반보행	106	ground	28	77.5043	4.0569	7.1150	2.4033	0.7475	-1.3213	-0.2079	1.9127	0.7137	1.8966
일반보행	107	ground	29	76.7017	2.2528	4.8124	2.6147	0.6479	0.7109	0.8494	7.9727	1.3067	1.5273
일반보행	108	ground	29	83.6698	1.9403	7.4008	3.9759	0.6505	-0.9269	-0.9556	0.1527	1.0487	1.9021
일반보행	109	ground	31	78.0147	1.6109	4.9549	2.7794	0.6406	0.6412	-0.1690	3.4965	1.2216	1.2924
일반보행	110	ground	33	73.3586	2.2500	6.2896	2.7516	0.6957	1.3757	0.3072	10.3829	0.8083	1.4221
일반보행	111	ground	25	83.4665	2.3804	6.5447	2.4420	0.7283	-1.1674	-0.2137	11.4894	1.5001	1.9392
일반보행	112	ground	30	87.9171	3.1536	7.1090	2.1459	0.7681	-0.9664	-1.0197	5.6851	0.6785	1.7935
일반보행	113	ground	31	75.0807	1.5746	5.6162	3.1284	0.6423	1.3267	0.3167	10.0331	0.9971	1.3431
일반보행	114	ground	28	83.4448	4.0265	7.0802	2.0313	0.7771	-0.8433	-0.3625	3.8932	0.4743	1.7388
일반보행	115	ground	29	86.1424	1.7406	6.8961	3.9604	0.6352	0.2636	0.2809	16.7178	1.1059	1.9203
