time_s	globalX	globalY	globalZ	pureX	pureY	pureZ	varYZRatio	dmagRatio	zfRatio	freqRatio	stairConfidence	rmsZdivFreq	stepVarH	stepFreqHz	procRmsZ	dmag	recentStepVarYZ	energyFracZ	zPeakYRatio	envZ	envH	stairScore	fsmLabel	armSpin	floorGT	isStep	stepIdx	totalSteps
0.526	-0.043879	-0.493017	-0.628078	-0.0236019	-0.0994853	0.792043	1	1	1	1	0	0	0	0	0	0	99	0	0	1.26098	1.09555	0.165438	ground	0	ground	0	-1	0
0.546	1.71093	-1.77203	-1.1377	1.72255	-1.3716	0.281013	1	1	1	1	0	0	0	0	0	0	99	0	0	1.21199	1.15087	0.0611208	ground	0	ground	0	-1	0
0.564	1.02072	-1.83026	-1.07606	1.02718	-1.42268	0.340939	1	1	1	1	0	0	0	0	0	0	99	0	0	1.16843	1.18106	-0.0126256	ground	0	ground	0	-1	0
0.584	1.62891	-1.01282	3.08307	1.62719	-0.602217	4.47756	1	1	1	1	0	0	0	0	0	0	99	0	0	1.33389	1.20876	0.125131	ground	0	ground	0	-1	0
0.603	0.775693	2.76628	5.41363	0.770106	3.161	6.77409	1	1	1	1	0	0	0	0	0	0	99	0	0	1.6059	1.31099	0.294906	ground	0	ground	0	-1	0
0.623	-2.58652	6.9027	-0.264453	-2.57914	7.26093	1.09052	1	1	1	1	0	0	0	0	0	0	99	0	0	1.58013	1.63071	-0.050583	ground	0	ground	0	-1	0
0.642	-2.20568	3.07886	-3.23689	-2.18732	3.41991	-1.8725	1	1	1	1	0	0	0	0	0	0	99	0	0	1.59475	1.75216	-0.157407	ground	0	ground	0	-1	0
0.661	-0.366348	1.05594	-1.00623	-0.346243	1.38999	0.356358	1	1	1	1	0	0	0	0	0	0	99	0	0	1.53283	1.73617	-0.203342	ground	0	ground	0	-1	0
0.681	1.05395	-0.60427	0.291515	1.06869	-0.268861	1.64584	1	1	1	1	0	0	0	0	0	0	99	0	0	1.53848	1.70446	-0.165983	ground	0	ground	0	-1	0
0.7	1.68363	-0.724518	1.90337	1.68988	-0.387164	3.2414	1	1	1	1	0	0	0	0	0	0	99	0	0	1.62363	1.70592	-0.0822962	ground	0	ground	0	-1	0
0.719	0.299276	-0.173071	1.84103	0.303991	0.163462	3.16317	1	1	1	1	0	0	0	0	0	0	99	0	0	1.7006	1.63788	0.0627193	ground	0	ground	0	-1	0
0.738	-0.150379	0.465597	0.536602	-0.144936	0.798119	1.84945	1	1	1	1	0	0	0	0	0	0	99	0	0	1.70805	1.59655	0.111497	ground	0	ground	0	-1	0
0.757	-0.049952	0.833294	-0.60862	-0.0442862	1.15999	0.700704	1	1	1	1	0	0	0	0	0	0	99	0	0	1.65768	1.57476	0.0829159	ground	0	ground	0	-1	0
0.776	-0.359848	0.928124	-1.24838	-0.352411	1.24854	0.0606364	1	1	1	1	0	0	0	0	0	0	99	0	0	1.57783	1.56089	0.0169356	ground	0	ground	0	-1	0
0.796	-1.01102	0.830015	-1.73773	-0.998561	1.14468	-0.426568	1	1	1	1	0	0	0	0	0	0	99	0	0	1.52026	1.5588	-0.0385338	ground	0	ground	0	-1	0
0.814	0.13501	0.852538	0.799934	0.146727	1.16137	2.10054	1	1	1	1	0	0	0	0	0	0	99	0	0	1.54928	1.53939	0.00988995	ground	0	ground	0	-1	0
0.834	0.254842	-0.038149	0.843435	0.265226	0.269328	2.13332	1	1	1	1	0	0	0	0	0	0	99	0	0	1.57848	1.48132	0.0971616	ground	0	ground	0	-1	0
0.853	-0.106064	0.244756	0.525043	-0.0952011	0.549472	1.80586	1	1	1	1	0	0	0	0	0	0	99	0	0	1.58985	1.43514	0.154713	ground	0	ground	0	-1	0
0.872	-0.91749	0.577905	-0.32046	-0.902094	0.878208	0.955551	1	1	1	1	0	0	0	0	0	0	99	0	0	1.55813	1.42633	0.131806	ground	0	ground	0	-1	0
0.891	-0.825741	0.59589	0.088236	-0.806293	0.891712	1.35743	1	1	1	1	0	0	0	0	0	0	99	0	0	1.5481	1.41512	0.132978	ground	0	ground	0	-1	0
0.911	0.026361	0.019047	0.344084	0.0455797	0.313295	1.60521	1	1	1	1	0	0	0	0	0	0	99	0	0	1.55095	1.36019	0.19076	ground	0	ground	0	-1	0
0.931	0.172863	0.271501	-0.201195	0.191121	0.56292	1.05463	1	1	1	1	0	0	0	0	0	0	99	0	0	1.52614	1.32191	0.204229	ground	0	ground	0	-1	0
0.95	-0.370365	1.04211	-1.61417	-0.350346	1.32687	-0.356558	1	1	1	1	0	0	0	0	0	0	99	0	0	1.46766	1.32443	0.143229	ground	0	ground	0	-1	0
0.969	-0.166947	1.00083	-0.994722	-0.146194	1.27915	0.261579	1	1	1	1	0	0	0	0	0	0	99	0	0	1.40735	1.32258	0.0847721	ground	0	ground	0	-1	0
0.988	-0.153478	0.121524	0.171686	-0.132061	0.397848	1.42085	1	1	1	1	0	0	0	0	0	0	99	0	0	1.40803	1.27741	0.130616	ground	0	ground	0	-1	0
1.007	-0.235826	0.107138	0.218582	-0.213337	0.381545	1.4604	1	1	1	1	0	0	0	0	0	0	99	0	0	1.41065	1.2354	0.175249	ground	0	ground	0	-1	0
1.026	-0.679149	0.420617	-0.040463	-0.653377	0.691549	1.19535	1	1	1	1	0	0	0	0	0	0	99	0	0	1.39988	1.2212	0.178684	ground	0	ground	0	-1	0
1.046	0.320735	0.284777	0.449755	0.344775	0.55293	1.67714	1	1	1	1	0	0	0	0	0	0	99	0	0	1.41375	1.19272	0.221027	ground	0	ground	0	-1	0
1.064	0.028052	-0.005896	0.919707	0.0518314	0.260946	2.13636	1	1	1	1	0	0	0	0	0	0	99	0	0	1.44988	1.14639	0.303491	ground	0	ground	0	-1	0
1.084	-0.202303	0.040174	0.169908	-0.177631	0.305481	1.37963	1	1	1	1	0	0	0	0	0	0	99	0	0	1.44636	1.10673	0.339629	ground	0	ground	0	-1	0
1.102	0.286465	0.146762	-0.409876	0.309581	0.410009	0.795844	1	1	1	1	0	0	0	0	0	0	99	0	0	1.41384	1.07709	0.336752	ground	0	ground	0	-1	0
1.122	0.154136	0.118914	-0.299916	0.176366	0.38025	0.901275	1	1	1	1	0	0	0	0	0	0	99	0	0	1.38821	1.04419	0.34402	ground	0	ground	0	-1	0
1.142	-0.237939	0.056186	0.061542	-0.21463	0.315934	1.25642	1	1	1	1	0	0	0	0	0	0	99	0	0	1.38162	1.01108	0.370543	ground	0	ground	0	-1	0
1.161	-0.651595	-0.415914	0.733063	-0.625145	-0.155385	1.9183	1	1	1	1	0	0	0	0	0	0	99	0	0	1.40845	0.992732	0.415723	ground	0	ground	0	-1	0
1.181	-0.343481	-0.541878	0.600431	-0.315446	-0.279942	1.77674	1	1	1	1	0	0	0	0	0	0	99	0	0	1.42687	0.964183	0.462686	ground	0	ground	0	-1	0
1.2	0.371014	-0.1061	-0.310898	0.397054	0.155057	0.861084	1	1	1	1	0	0	0	0	0	0	99	0	0	1.39858	0.937287	0.461293	ground	0	ground	0	-1	0
1.218	0.406825	0.307107	-0.908253	0.430701	0.565422	0.262411	1	1	1	1	0	0	0	0	0	0	99	0	0	1.34177	0.925961	0.41581	ground	0	ground	0	-1	0
1.238	0.085279	0.556859	-0.870937	0.108609	0.811098	0.298228	1	1	1	1	0	0	0	0	0	0	99	0	0	1.28959	0.92058	0.369014	ground	0	ground	0	-1	0
1.257	0.013552	0.888071	-1.00629	0.0366975	1.1366	0.162056	1	1	1	1	0	0	0	0	0	0	99	0	0	1.23322	0.931411	0.301807	ground	0	ground	0	-1	0
1.276	-0.278032	0.740174	-0.996527	-0.253612	0.983758	0.170965	1	1	1	1	0	0	0	0	0	0	99	0	0	1.1801	0.935636	0.244468	ground	0	ground	0	-1	0
1.295	-0.833763	-0.101626	0.108891	-0.805296	0.141249	1.27	1	1	1	1	0	0	0	0	0	0	99	0	0	1.1846	0.929734	0.254865	ground	0	ground	0	-1	0
1.315	-0.44423	-0.754901	0.967026	-0.413685	-0.509466	2.11749	1	1	1	1	0	0	0	0	0	0	99	0	0	1.23124	0.916061	0.315183	ground	0	ground	0	-1	0
1.333	0.201359	-0.68392	0.713979	0.230745	-0.436293	1.85513	1	1	1	1	0	0	0	0	0	0	99	0	0	1.26244	0.894935	0.367503	ground	0	ground	0	-1	0
1.353	0.486187	-0.1498	-0.163902	0.512995	0.097338	0.972358	1	0	1	1	0	1.29418	2.65832	1.44509	1.8702	0	99	0.405935	0.750188	1.24793	0.876296	0.371638	ground	0	ground	1	1	1
1.372	0.222271	0.385517	-0.599724	0.247834	0.629492	0.533854	1	0	1	1	0	1.29418	2.65832	1.44509	1.8702	0	99	0.405935	0.750188	1.21223	0.866307	0.345923	ground	0	ground	0	-1	1
1.391	-0.258529	0.609467	-0.567119	-0.231802	0.849174	0.563627	1	0	1	1	0	1.29418	2.65832	1.44509	1.8702	0	99	0.405935	0.750188	1.1798	0.867004	0.312796	ground	0	ground	0	-1	1
1.411	0.221066	0.258268	-0.322792	0.246555	0.495486	0.803914	1	0	1	1	0	1.29418	2.65832	1.44509	1.8702	0	99	0.405935	0.750188	1.16101	0.851326	0.30968	ground	0	ground	0	-1	1
