time_s	globalX	globalY	globalZ	pureX	pureY	pureZ	localFwdY	localLatX	varYZRatio	dmagRatio	zfRatio	freqRatio	stairConfidence	rmsZdivFreq	stepVarH	stepFreqHz	procRmsZ	dmag	recentStepVarYZ	dirR1	energyFracZ	zPeakYRatio	envZ	envH	stairScore	fsmLabel	armSpin	floorGT	isStep	stepIdx	totalSteps
0.465	-1.0296	-2.20341	-1.38271	-1.59381	-2.54406	-3.00811	-2.77937	-1.13472	1	1	1	1	0	0	0	0	0	0	99	3.01549e-314	0	0	1.78761	1.28244	0.505177	ground	0	ground	0	-1	0
0.484	0.231046	-1.60713	0.588666	-0.331499	-1.93804	-1.03155	-1.96569	0.0442153	1	1	1	1	0	0	0	0	0	0	99	3.01549e-314	0	0	1.74981	1.31662	0.433187	ground	0	ground	0	-1	0
0.505	-0.574386	-0.296794	-0.652481	-1.13125	-0.624564	-2.26133	-0.839808	-0.9821	1	1	1	1	0	0	0	0	0	0	99	3.01549e-314	0	0	1.77539	1.3154	0.459984	ground	0	ground	0	-1	0
0.524	-1.24239	-0.633487	-0.217874	-1.79026	-0.956451	-1.81759	-1.29774	-1.56067	1	1	1	1	0	0	0	0	0	0	99	3.01549e-314	0	0	1.7775	1.35112	0.426377	ground	0	ground	0	-1	0
0.545	-0.15034	-0.667223	0.384861	-0.694713	-0.985236	-1.20878	-1.1171	-0.453212	1	1	1	1	0	0	0	0	0	0	99	3.01549e-314	0	0	1.74906	1.34384	0.405221	ground	0	ground	0	-1	0
0.565	0.084899	0.003511	-0.462406	-0.457176	-0.312929	-2.04577	-0.412884	-0.369408	1	1	1	1	0	0	0	0	0	0	99	3.01549e-314	0	0	1.7639	1.30435	0.459547	ground	0	ground	0	-1	0
0.598	2.5846	-2.04995	2.79572	2.03231	-2.35456	1.2063	-1.7803	2.55045	1	0	1	1	0	0.62522	2.68514	4.16667	2.60509	0	99	3.01549e-314	0.527768	0.461723	1.73602	1.39465	0.341368	ground	0	ground	1	1	1
0.608	1.88619	-3.48435	2.27145	1.32724	-3.77001	0.678616	-3.32596	2.21643	1	0	1	1	0	0.62522	2.68514	4.16667	2.60509	0	99	3.01549e-314	0.527768	0.461723	1.68315	1.52476	0.158389	ground	0	ground	0	-1	1
0.626	4.55114	-1.46964	2.87842	3.97222	-1.74653	1.27916	-0.673448	4.28665	1	0	1	1	0	0.62522	2.68514	4.16667	2.60509	0	99	3.01549e-314	0.527768	0.461723	1.66295	1.66548	-0.00253341	ground	0	ground	0	-1	1
0.645	0.798127	-1.79853	1.81544	0.218113	-2.06504	0.215095	-1.92666	0.774562	1	0	1	1	0	0.62522	2.68514	4.16667	2.60509	0	99	3.01549e-314	0.527768	0.461723	1.59055	1.68603	-0.0954782	ground	0	ground	0	-1	1
0.667	1.78576	-2.29383	1.58598	1.19972	-2.54754	-0.0142883	-2.10107	1.87477	1	0	1	1	0	0.62522	2.68514	4.16667	2.60509	0	99	3.01549e-314	0.527768	0.461723	1.51174	1.74253	-0.230785	ground	0	ground	0	-1	1
