stepIdx	time_s	pureY	pureZ	zEnergyFrac	zEF_avg5	procRmsZ	stepFreqHz	rmsZdivFreq	stepVarH	dmag	recentStepVarYZ	varYZRatio	dmagRatio	zfRatio	freqRatio	energyFracZ	zPeakYRatio	stairConfidence	fsmLabel	armSpin	floorGT
28	15.645	1.61708	-0.175486	0.0978965	0.539052	5.87451	1.79856	3.26623	5.68755	5.40911	3.96947	0.512036	1.35672	1.27006	0.994813	0.857144	0.264162	0	ground	0	ground
29	16.258	-1.96562	4.62757	0.701871	0.528787	2.9942	1.85185	1.61687	5.5045	5.99209	6.06231	0.799428	1.43097	0.652958	1.02181	0.619464	0.223597	0	ground	0	ground
30	16.723	2.17023	1.09867	0.336097	0.481179	4.46365	1.86567	2.39252	6.40072	5.43677	6.77138	0.902595	1.26074	0.969474	1.02641	0.756817	0.159004	0	ground	0	ground
31	17.35	0.723916	4.05218	0.848429	0.579714	2.43239	1.85185	1.31349	4.44474	3.28863	6.34992	0.859618	0.78115	0.558358	1.0169	0.569352	0.297395	0	ground	0	ground
32	17.832	0.640495	2.76345	0.811837	0.559226	4.98167	1.7331	2.87442	6.22058	1.29143	5.24323	0.731015	0.329603	1.19538	0.956308	0.799492	0.18051	0	ground	0	ground
33	18.435	-0.0223164	3.05029	0.992737	0.738194	3.64415	1.8622	1.95691	3.0959	0.722218	3.27787	0.483243	0.200698	0.829253	1.02472	0.810629	0.193715	0	ground	0	ground
34	18.973	-0.133069	1.14588	0.895954	0.777011	2.32017	1.67785	1.38282	3.96958	1.90764	1.98541	0.314979	0.556252	0.611289	0.930417	0.557973	0.18453	0	ground	0	ground
35	19.703	0.347352	0.790886	0.694833	0.848758	1.85104	1.53139	1.20873	1.56353	0.597346	1.60553	0.275224	0.189861	0.560426	0.862203	0.686647	0.203525	0	ground	0	up
36	20.294	0.806524	1.79418	0.689882	0.817049	2.69939	1.62338	1.66283	1.85946	1.10338	0.908135	0.170031	0.37505	0.78904	0.921921	0.795469	0.45036	0	ground	0	up
37	20.894	0.343094	3.15948	0.902045	0.83509	2.59977	1.85529	1.40128	1.82012	1.44181	1.04555	0.21288	0.516419	0.687983	1.048	0.787813	0.19975	0	ground	0	up
38	21.45	0.133116	4.59202	0.971828	0.830908	4.62046	1.57978	2.92475	1.94372	1.44784	2.06667	0.446658	0.544809	1.37597	0.902085	0.916448	0.15583	0	ground	0	up
39	22.006	1.04905	0.58331	0.357342	0.723186	4.81167	1.79533	2.6801	1.73727	4.11202	2.39532	0.54392	1.46702	1.22882	1.0226	0.930038	0.125567	0.561184	ground	0	up
40	22.6	-0.138807	7.36982	0.981514	0.780522	4.81092	1.7331	2.7759	2.38918	6.88968	5.72894	1.26291	2.14522	1.23895	0.988421	0.906331	0.251555	0	ground	0	up
41	23.159	-0.0909103	4.3411	0.979488	0.838443	3.86894	1.92678	2.00798	1.59938	3.0291	5.02602	1.09612	0.948553	0.90561	1.08812	0.903137	0.296035	0	ground	0	up
42	23.7	0.0325715	3.83671	0.991582	0.856351	3.90647	1.7331	2.25403	1.97312	0.519279	4.87423	1.05636	0.177472	1.0149	0.980828	0.885498	0.321855	0	ground	0	up
43	24.329	-0.0487751	3.43644	0.986005	0.859186	2.66434	1.92678	1.38279	1.41019	0.408452	4.89102	1.05368	0.152736	0.647033	1.08067	0.83397	0.102049	0	ground	0	up
44	24.909	1.07416	1.65142	0.605897	0.908897	3.15899	1.4881	2.12284	1.99643	2.10886	3.65978	0.805471	0.805618	0.993978	0.848656	0.833028	0.24288	0	ground	0	up
45	25.595	-0.472068	4.46015	0.904289	0.893452	2.64549	1.7301	1.52909	1.08476	3.20621	1.29863	0.307794	1.19789	0.736897	0.98799	0.865758	0.0192496	0	ground	0	ground
46	26.198	1.56118	2.65929	0.630093	0.823573	3.41946	1.40845	2.42782	1.13435	2.7161	1.52695	0.386577	1.01328	1.15045	0.820361	0.911516	0.203639	0	ground	0	ground
47	26.715	-0.532598	0.136033	0.20345	0.665947	2.82746	1.67224	1.69082	3.67636	3.27884	2.9295	0.761327	1.19651	0.817466	0.976545	0.67867	0.131891	0	ground	0	ground
48	27.388	0.61741	3.16208	0.836642	0.636074	2.97188	1.49031	1.99413	4.1742	3.2372	2.80904	0.750277	1.16028	0.967582	0.88174	0.678927	0.0787681	0	ground	0	ground
49	27.991	-0.255951	1.54174	0.857621	0.686419	2.05919	2.26244	0.910164	2.50427	1.84073	2.7952	0.765993	0.682993	0.467742	1.29473	0.628313	0.265291	0	ground	0	ground
50	28.562	-0.884172	1.60314	0.644527	0.634467	3.5755	1.36799	2.61369	4.61123	0.631216	1.87281	0.539481	0.253632	1.29863	0.800238	0.73301	0.309447	0	ground	0	ground
51	29.17	0.913514	1.70477	0.651102	0.638669	2.48177	1.79533	1.38234	3.06967	1.80056	1.38718	0.425117	0.744066	0.709032	1.04497	0.666861	0.318579	0	ground	0	up
52	29.768	-0.125924	2.29964	0.948084	0.787595	2.65874	1.52905	1.73881	2.57155	1.19762	0.788056	0.26133	0.521234	0.901622	0.899886	0.732459	0.248574	0	ground	0	up
53	30.426	0.504293	3.33929	0.868796	0.794026	2.3495	1.99601	1.1771	1.34158	1.21575	0.847547	0.302829	0.555272	0.635105	1.15453	0.802443	0.300017	0	ground	0	up
54	30.98	0.211041	2.99576	0.934189	0.80934	4.15752	1.44718	2.87285	2.97987	0.451669	0.843867	0.324156	0.224077	1.46923	0.850941	0.852945	0.104145	0.569404	ground	0	up
55	31.578	-0.456129	3.89907	0.895268	0.859488	4.13904	1.92678	2.14816	1.40346	1.12297	0.822744	0.339245	0.582933	1.08789	1.11808	0.92428	0.17868	0.592242	ground	0	up
56	32.157	0.17627	2.42416	0.932215	0.91571	4.46925	1.62602	2.74859	2.33252	1.60476	0.455973	0.204629	0.847175	1.33946	0.94891	0.89517	0.0806384	0.643024	stair	0	up
57	32.775	1.83651	4.4518	0.707948	0.867683	3.84497	1.52905	2.51461	1.49938	2.62064	1.07013	0.480247	1.38347	1.22543	0.892324	0.907918	0.0942117	0.612206	stair	0	up
58	33.291	-0.780384	4.34764	0.84782	0.863488	4.79565	1.85874	2.58006	5.39825	2.61897	1.43787	0.645279	1.38259	1.25733	1.08472	0.809301	0.111729	0.547835	stair	0	up
59	33.885	0.217194	2.17285	0.909125	0.858475	3.28795	2.079	1.5815	1.66071	2.39267	1.75295	0.786678	1.26312	0.770706	1.21326	0.866825	0.316129	0.464207	stair	0	up
60	34.425	-0.943403	4.09888	0.812901	0.842002	4.35743	1.62602	2.67982	2.31028	2.24868	1.96012	0.879652	1.18711	1.30594	0.94891	0.891509	0.16268	0.12272	stair	0	up
61	34.989	-0.0178586	3.42582	0.994814	0.854522	3.9606	1.7331	2.28527	2.54054	1.14439	1.69018	0.758509	0.604139	1.11367	1.0114	0.860601	0.174773	0.120457	stair	0	up
62	35.578	-1.51613	1.82763	0.546579	0.822248	4.60559	1.85874	2.47781	2.19616	2.19067	1.42148	0.637921	1.15648	1.2075	1.08472	0.905687	0.0594455	0.142217	stair	0	up
63	36.188	-0.256348	1.49455	0.85359	0.823402	3.15748	1.67504	1.88502	2.08002	1.30308	1.39297	0.625127	0.68791	0.918616	0.97752	0.827304	0.0601879	0	stair	0	ground
64	36.848	-1.75997	-0.0260192	0.0145685	0.64449	1.95579	1.33511	1.46489	2.60341	2.13846	2.60139	1.16743	1.12892	0.713875	0.779145	0.593204	0.0460154	0	stair	0	ground
65	37.445	-1.11914	0.0500304	0.0427914	0.490468	2.65129	1.67785	1.58017	3.55455	0.645326	2.09904	0.941996	0.340676	0.770056	0.97916	0.663697	0.120874	0	ground	0	ground
66	37.988	-1.05287	1.00139	0.487471	0.389	3.12906	1.79533	1.74288	5.38243	0.953667	0.822856	0.394135	0.529758	0.862342	1.04274	0.645148	0.445197	0	ground	0	ground
