stepIdx	time_s	localFwdY	pureZ	zEnergyFrac	zEF_avg5	procRmsZ	stepFreqHz	rmsZdivFreq	stepVarH	dmag	recentStepVarYZ	varYZRatio	dmagRatio	zfRatio	freqRatio	dirR1	energyFracZ	zPeakYRatio	stairConfidence	fsmLabel	armSpin	floorGT
26	16.002	0.315627	1.27664	0.801775	0.641952	1.28242	1.85529	0.691223	1.22127	0.557371	0.496615	0.541952	0.372264	0.784875	0.969275	0.87501	0.572917	0.0838969	0.3	ground	0	ground
27	16.542	1.60384	0.303894	0.159296	0.511125	1.74199	1.66667	1.04519	1.53573	1.61423	0.657456	0.738336	1.06977	1.16504	0.882135	0.854621	0.663158	0.161374	0.65	ground	0	ground
28	17.159	-0.926561	2.26592	0.709767	0.595068	1.52913	1.84843	0.827259	1.25383	3.20195	1.19531	1.29792	1.90791	0.929355	0.980463	0.856786	0.650349	0.147743	0.6	stair	0	ground
29	17.664	1.28916	-0.119988	0.0851491	0.461987	1.64099	1.7301	0.948494	1.68825	3.25607	1.46528	1.59106	1.94016	1.06555	0.917699	0.823014	0.611912	0.138536	0.1	stair	0	ground
30	18.261	0.0583324	1.33147	0.958028	0.542803	1.36705	1.78253	0.766912	1.04443	1.90307	1.5255	1.65646	1.13396	0.86156	0.945508	0.798146	0.640145	0.177562	0.3	ground	0	ground
31	18.803	1.18045	0.206146	0.14867	0.412182	1.52439	1.78571	0.853659	1.22293	1.58918	1.66229	1.67051	0.951982	0.962959	0.952225	0.811215	0.654365	0.0990037	0.4	ground	0	ground
32	19.402	-0.458776	1.46871	0.761982	0.532719	1.54336	1.78571	0.86428	1.01907	2.06909	1.53575	1.46381	1.21048	0.977389	0.956796	0.803885	0.700362	0.194352	0.6	ground	0	ground
33	19.904	1.07192	0.431497	0.287011	0.448168	1.5533	1.78891	0.868295	1.66949	1.84901	0.883281	0.855431	1.07296	0.983708	0.962501	0.784953	0.590986	0.185018	0.4	ground	0	ground
34	20.527	-0.345201	1.42918	0.805452	0.592228	1.56489	1.78253	0.877904	0.826187	1.73309	0.777019	0.771615	1.00512	0.995132	0.963012	0.829432	0.74735	0.188833	0.75	ground	0	ground
35	21.022	0.404227	0.204908	0.336391	0.467901	1.52066	1.78571	0.851569	1.45201	1.43544	0.804246	0.815065	0.846674	0.968643	0.968146	0.823187	0.612366	0.212587	0.75	stair	0	ground
36	21.644	0.141036	0.899551	0.864464	0.61106	1.30723	1.78891	0.730741	0.812394	0.742832	0.566982	0.574609	0.43815	0.831204	0.969878	0.814151	0.676359	0.140878	0.7	stair	0	ground
37	22.18	1.5224	0.41731	0.215141	0.501692	1.61468	1.66389	0.970422	1.26075	1.46312	0.634666	0.643203	0.863002	1.10384	0.902099	0.850597	0.673562	0.188693	0.75	stair	0	ground
38	22.785	0.368227	1.23219	0.769918	0.598273	1.48035	1.85529	0.797909	1.15913	1.41285	0.593597	0.601582	0.83335	0.907607	1.00587	0.801153	0.654031	0.174372	0.55	stair	0	ground
39	23.302	1.37594	0.399407	0.224974	0.482177	1.64077	1.84843	0.887657	1.0804	1.30729	0.467637	0.473927	0.77109	1.00969	1.00215	0.817499	0.712902	0.16924	0.9	stair	0	ground
40	23.901	0.282041	1.18893	0.808261	0.576551	1.54678	1.66945	0.926521	1.20497	1.34906	0.474871	0.481259	0.795724	1.0539	0.905111	0.86268	0.664881	0.0891185	0.9	stair	0	ground
41	24.461	0.840304	0.745961	0.470262	0.497711	1.49385	1.72117	0.867926	1.43713	0.712653	0.385499	0.390684	0.420349	0.987249	0.933152	0.866868	0.607233	0.0901132	0.7	stair	0	ground
42	25.062	-1.68326	4.17891	0.712861	0.597255	1.69205	1.78571	0.94755	1.11462	4.26069	2.89614	2.93509	2.51311	1.07782	0.968146	0.935232	0.719123	0.0551613	0.7	stair	0	ground
