stepIdx	time_s	localFwdY	pureZ	zEnergyFrac	zEF_avg5	procRmsZ	stepFreqHz	rmsZdivFreq	stepVarH	dmag	recentStepVarYZ	varYZRatio	dmagRatio	zfRatio	freqRatio	dirR1	energyFracZ	zPeakYRatio	stairConfidence	fsmLabel	armSpin	floorGT
26	15.327	-0.67405	0.655469	0.493012	0.650727	1.83102	1.52207	1.20298	1.74067	2.17924	1.03851	1.90939	1.69913	1.43893	0.805139	0.93089	0.657711	0.110992	0.4	ground	0	ground
27	15.904	0.345604	2.59938	0.882646	0.679622	1.70704	1.85529	0.920092	1.44433	2.1951	1.37244	2.18978	1.59781	1.0896	0.983231	0.874462	0.668506	0.0992572	0.6	ground	0	ground
28	16.425	-0.207112	0.571873	0.734125	0.689426	1.60919	1.78891	0.899539	2.32019	2.10149	1.31022	1.88495	1.45273	1.05835	0.953004	0.846742	0.523751	0.0842035	0.1	ground	0	ground
29	17.025	0.133456	1.5971	0.922882	0.762149	1.37705	1.85185	0.743606	0.803253	1.08032	0.920522	1.28271	0.766207	0.885973	0.987865	0.853195	0.702363	0.252843	0.4	ground	0	ground
30	17.538	-0.35917	0.578132	0.616803	0.729894	1.50621	1.72414	0.873604	1.24254	1.13181	0.768262	1.06304	0.818879	1.03662	0.927179	0.845834	0.642937	0.289373	0.4	ground	0	ground
31	18.119	-0.194599	1.31758	0.871311	0.805553	1.36376	1.85874	0.733701	1.28388	0.757536	0.630794	0.884072	0.57403	0.882027	0.999604	0.855078	0.591318	0.0242957	0.2	ground	0	ground
32	18.622	0.0403463	0.643081	0.940963	0.817217	1.72282	1.9305	0.89242	1.89836	0.714243	0.217848	0.328111	0.567248	1.06507	1.03425	0.903392	0.608219	0.0232574	0.7	ground	0	ground
33	19.243	0.157489	0.709849	0.818422	0.834076	1.46865	1.66667	0.881191	1.17022	0.134834	0.208679	0.33744	0.117584	1.04627	0.902568	0.921139	0.648243	0.102953	0.8	stair	0	ground
34	19.78	-0.630402	0.318188	0.335432	0.716586	1.34789	1.7301	0.779083	1.50256	0.87987	0.188123	0.3042	0.767302	0.925031	0.936921	0.906453	0.543013	0.0998913	0.3	stair	0	ground
35	20.378	-0.13134	1.60711	0.92445	0.778116	1.37422	1.78571	0.769564	1.72088	1.38217	0.295421	0.477705	1.20534	0.913729	0.967037	0.842271	0.520363	0.0919928	0.2	ground	0	ground
