stepIdx	time_s	localFwdY	pureZ	zEnergyFrac	zEF_avg5	procRmsZ	stepFreqHz	rmsZdivFreq	stepVarH	dmag	recentStepVarYZ	varYZRatio	dmagRatio	zfRatio	freqRatio	dirR1	energyFracZ	zPeakYRatio	stairConfidence	fsmLabel	armSpin	floorGT
26	15.729	2.0561	2.05095	0.499373	0.679674	1.57732	2.50627	0.629352	2.67973	2.38061	1.76428	1.00737	1.26894	0.481587	1.28957	0.981001	0.475905	0.165836	0	ground	0	ground
27	16.207	-0.783856	0.308942	0.282707	0.606143	3.26507	1.43062	2.28229	6.73156	3.33166	2.35269	1.29875	1.64802	1.62513	0.756058	0.977859	0.608997	0.14337	0.3	ground	0	ground
28	16.687	-0.392394	-0.974251	0.712878	0.62687	2.55599	2.09205	1.22176	3.02044	1.34158	3.53515	1.78194	0.686717	0.88143	1.09406	0.96709	0.682368	0.159577	0.3	ground	0	ground
29	17.269	-1.10004	0.926363	0.457147	0.56671	2.41274	1.72712	1.39698	4.21509	2.02808	2.68303	1.30638	1.03418	1.00705	0.912041	0.929453	0.579818	0.162086	0	ground	0	ground
30	17.807	-1.96388	0.926345	0.320509	0.454523	2.66983	1.92678	1.38564	2.47744	0.863844	2.79574	1.3138	0.466606	0.998988	1.0157	0.933334	0.742057	0.0659018	0.6	ground	0	ground
31	18.36	-0.230866	2.15111	0.903078	0.535264	3.18268	1.72712	1.84277	5.83161	2.12212	1.40992	0.685702	1.12974	1.2863	0.918677	0.913207	0.634292	0.123174	0.45	ground	0	ground
32	19.005	0.899185	0.723147	0.445745	0.567871	2.21192	1.92678	1.14799	2.17887	1.82102	1.90544	0.933537	0.972415	0.817564	1.02234	0.933432	0.691872	0.15872	0.6	ground	0	ground
33	19.481	-0.413402	2.04477	0.831825	0.591661	3.26276	1.66667	1.95766	5.08646	1.86268	1.27957	0.651196	0.995192	1.34132	0.894672	0.918295	0.674354	0.172555	0.45	ground	0	ground
34	20.064	1.0947	0.403124	0.26914	0.554059	2.02805	2.08333	0.973466	1.88274	2.22921	1.71113	0.882223	1.1687	0.689961	1.10526	0.92095	0.684189	0.156465	0.4	ground	0	ground
35	20.539	-0.274942	0.437783	0.614237	0.612805	2.37701	1.72712	1.37629	3.55018	1.37008	1.02516	0.554703	0.739109	0.977866	0.924014	0.91962	0.614068	0.163942	0.2	ground	0	ground
36	21.12	0.502135	1.70262	0.772249	0.586639	2.26016	1.85529	1.21822	1.58585	1.48448	0.833363	0.47712	0.817096	0.877356	0.993323	0.992307	0.763069	0.177486	0.9	ground	0	ground
37	21.662	-0.172675	1.76238	0.910764	0.679643	3.08869	1.7301	1.78526	3.41157	0.67745	0.818491	0.494905	0.397836	1.25001	0.933177	0.981422	0.735617	0.128367	0.6	stair	0	ground
38	22.26	1.0401	0.231113	0.181805	0.549639	1.74871	2	0.874357	1.21543	1.95335	0.794934	0.480661	1.14712	0.612212	1.07875	0.980266	0.715399	0.146968	1	stair	0	ground
39	22.736	0.183189	0.601617	0.76658	0.649127	3.27181	1.7301	1.8911	4.99888	0.933579	0.65465	0.395838	0.548249	1.32412	0.933177	0.979625	0.681316	0.178615	0.6	stair	0	ground
40	23.276	0.388798	1.56652	0.801158	0.686511	3.1191	1.92678	1.61881	3.30372	0.986569	0.558185	0.337509	0.579367	1.13347	1.03926	0.979397	0.746141	0.216949	0.6	stair	0	ground
41	23.834	0.384985	1.51557	0.797435	0.691549	2.39023	1.72414	1.38634	3.56422	0.051092	0.521007	0.31503	0.030004	0.970693	0.929959	0.980832	0.613342	0.229531	0.6	stair	0	ground
42	24.376	-0.354751	3.8427	0.915484	0.692492	2.36572	2.00401	1.18049	2.03058	2.44187	1.7796	1.07604	1.434	0.826564	1.08091	0.987141	0.730207	0.214668	0.6	stair	0	ground
43	24.895	-1.44975	1.79615	0.55336	0.766803	2.988	1.78253	1.67627	3.28505	2.32108	1.62805	0.984412	1.36306	1.1737	0.961455	0.979228	0.728881	0.208117	0.3	stair	0	ground
44	25.511	0.744725	1.20692	0.618411	0.73717	2.73182	1.93798	1.40962	2.45196	2.27221	1.51058	0.913378	1.33436	0.986994	1.0453	0.958198	0.752695	0.249922	0.6	stair	0	ground
45	25.99	-0.16714	3.21999	0.950654	0.767069	4.1882	1.72414	2.42916	9.28569	2.20997	1.62112	0.980222	1.29781	1.70086	0.929959	0.972585	0.653789	0.355292	0.3	stair	0	ground
46	26.551	0.290838	2.91526	0.909286	0.789439	3.19904	2.00401	1.59632	2.4059	0.550094	1.46688	0.886954	0.323045	1.11772	1.08091	0.963637	0.808868	0.321293	0.6	stair	0	ground
47	27.05	-1.30578	4.01269	0.754483	0.757239	3.07001	1.78891	1.71613	2.45159	1.93741	1.7647	1.06704	1.13775	1.20161	0.964895	0.973552	0.791987	0.368421	0.6	stair	0	ground
48	27.629	-0.546008	4.74714	0.896846	0.825936	2.60056	2.17865	1.19366	1.03319	1.05672	1.91656	1.15886	0.620564	0.835781	1.17511	0.975437	0.867072	0.111226	0.7	stair	0	ground
49	28.132	-0.161929	2.03452	0.926277	0.887509	3.30749	1.61812	2.04403	4.28489	2.73967	1.14972	0.695182	1.60888	1.4312	0.872777	0.989277	0.71823	0.138911	0.45	stair	0	ground
50	28.744	0.875473	-1.03581	0.541946	0.805767	1.87605	2	0.938026	2.08406	3.24086	4.59195	2.77655	1.90321	0.656792	1.07875	0.986218	0.627772	0.185591	0.6	stair	0	ground
51	29.247	-0.193603	0.727745	0.789869	0.781884	2.22868	1.61812	1.37732	4.10413	2.0623	4.97299	3.00695	1.21109	0.964381	0.872777	0.954275	0.547467	0.158811	0.1	stair	0	ground
52	29.924	-0.0418821	2.97157	0.986101	0.828208	1.40669	1.92678	0.730074	2.31481	2.24894	4.07885	2.4663	1.3207	0.511188	1.03926	0.940542	0.459242	0.128358	0	ground	0	ground
53	30.363	0.690335	-1.91088	0.73461	0.795761	2.16254	1.66667	1.29752	5.61212	4.93705	3.54106	1.92182	2.43653	0.916896	0.908136	0.942251	0.452406	0.25958	0	ground	0	ground
54	30.983	1.02499	8.64739	0.894029	0.789311	3.74324	1.9305	1.939	9.4238	10.5636	14.4826	4.66194	3.66792	1.32128	1.04646	0.736357	0.597877	0.391631	0.1	ground	0	ground
55	31.443	0.571919	2.45949	0.811336	0.843189	4.83736	1.85529	2.60734	12.4223	6.20446	12.3263	3.05975	1.93139	1.64865	1.00512	0.736938	0.652882	0.333458	0.1	ground	0	ground
56	32.12	-1.07329	14.4665	0.930933	0.871402	4.57798	1.92308	2.38055	14.4781	12.1192	32.6892	4.74128	2.95366	1.43286	1.0375	0.728697	0.591423	0.152157	0.1	ground	0	ground
57	32.562	-1.57751	-0.619913	0.282109	0.730603	5.04318	1.62075	3.11164	7.22962	15.0948	38.6836	3.84013	2.90158	1.72254	0.885519	0.773459	0.769476	0.247139	0	ground	0	ground
58	33.61	-0.602535	0.679091	0.529866	0.689655	2.03283	0.943396	2.1548	5.86999	1.62419	32.8757	2.6612	0.335266	1.17028	0.541687	0.400054	0.413101	0.309424	0	ground	0	ground
59	34.277	0.784184	0.761001	0.492498	0.609348	1.85789	1.85185	1.00326	4.16438	1.38914	31.5987	2.21307	0.308769	0.570857	1.05662	0.557376	0.4494	0.0903466	0	ground	0	ground
60	34.738	-0.526376	-0.439429	0.454987	0.538079	2.97122	1.7301	1.71737	3.45677	1.77724	33.982	2.09138	0.420473	0.97942	0.988425	0.556737	0.718427	0.0545063	0	ground	0	ground
61	35.392	0.152557	4.52657	0.967396	0.545371	2.19964	1.85529	1.18561	4.60006	5.0122	4.08634	0.271836	1.16419	0.698785	1.05363	0.288862	0.511543	0.0479181	0.2	ground	0	ground
62	35.953	0.622716	1.68379	0.730017	0.634953	3.22125	1.72712	1.86511	5.17158	2.8814	3.15753	0.228065	0.692159	1.08847	0.982721	0.326083	0.662424	0.16682	0	ground	0	ground
63	36.532	2.18783	1.18348	0.351043	0.599188	2.05157	1.78891	1.14683	3.39162	1.64314	3.52143	0.274842	0.420138	0.692175	1.01606	0.657673	0.55153	0.148093	0	ground	0	ground
