스텝#	시간(s)	ampZ	fourthRoot	correctedRoot	freq(Hz)	kf	scaleFactor	L0	pocketScale	Lscaled	minStride	maxStride	Lfinal	Lsmoothed	profile
201	129.402	6.1164	1.5726	1.4805	1.9685	0.4563	1.00	0.6756	1.0000	0.6756	0.25	1.40	0.6756	0.6500	OnHand
202	129.953	6.1164	1.5726	1.4805	1.8149	0.4322	1.00	0.6399	1.0000	0.6399	0.25	1.40	0.6399	0.6400	OnHand
203	130.526	6.1164	1.5726	1.4805	1.7452	0.4219	1.00	0.6246	1.0000	0.6246	0.25	1.40	0.6246	0.6400	OnHand
204	131.079	6.1164	1.5726	1.4805	1.8116	0.4317	1.00	0.6391	1.0000	0.6391	0.25	1.40	0.6391	0.6300	OnHand
205	131.566	6.1164	1.5726	1.4805	2.0534	0.4703	1.00	0.6962	1.0000	0.6962	0.25	1.40	0.6962	0.6500	OnHand
206	132.179	6.1164	1.5726	1.4805	1.6287	0.4057	1.00	0.6007	1.0000	0.6007	0.25	1.40	0.6007	0.6400	OnHand
207	132.688	6.1164	1.5726	1.4805	1.9646	0.4557	1.00	0.6746	1.0000	0.6746	0.25	1.40	0.6746	0.6400	OnHand
208	133.112	6.1164	1.5726	1.4805	2.3585	0.5222	1.00	0.7731	1.0000	0.7731	0.25	1.40	0.7731	0.6700	OnHand
209	133.662	6.1164	1.5726	1.4805	1.8149	0.4322	1.00	0.6399	1.0000	0.6399	0.25	1.40	0.6399	0.6700	OnHand
210	134.235	6.1164	1.5726	1.4805	1.7483	0.4224	1.00	0.6253	1.0000	0.6253	0.25	1.40	0.6253	0.6600	OnHand
211	135.869	6.1164	1.5726	1.4805	0.6116	0.3272	1.00	0.4845	1.0000	0.4845	0.25	1.40	0.4845	0.6300	OnHand
212	136.461	6.1164	1.5726	1.4805	1.6920	0.4144	1.00	0.6135	1.0000	0.6135	0.25	1.40	0.6135	0.6200	OnHand
213	137.054	6.1164	1.5726	1.4805	1.6835	0.4132	1.00	0.6117	1.0000	0.6117	0.25	1.40	0.6117	0.5900	OnHand
214	137.564	6.1164	1.5726	1.4805	1.9685	0.4563	1.00	0.6756	1.0000	0.6756	0.25	1.40	0.6756	0.6000	OnHand
215	138.113	6.1164	1.5726	1.4805	1.8149	0.4322	1.00	0.6399	1.0000	0.6399	0.25	1.40	0.6399	0.6000	OnHand
216	138.643	6.1164	1.5726	1.4805	1.8868	0.4433	1.00	0.6563	1.0000	0.6563	0.25	1.40	0.6563	0.6300	OnHand
217	139.259	6.1164	1.5726	1.4805	1.6260	0.4054	1.00	0.6002	1.0000	0.6002	0.25	1.40	0.6002	0.6300	OnHand
218	139.725	6.1164	1.5726	1.4805	2.1459	0.4858	1.00	0.7193	1.0000	0.7193	0.25	1.40	0.7193	0.6500	OnHand
219	140.339	6.1164	1.5726	1.4805	1.6260	0.4054	1.00	0.6002	1.0000	0.6002	0.25	1.40	0.6002	0.6400	OnHand
220	140.828	6.1164	1.5726	1.4805	2.0492	0.4696	1.00	0.6952	1.0000	0.6952	0.25	1.40	0.6952	0.6500	OnHand
221	141.441	6.1164	1.5726	1.4805	1.6287	0.4057	1.00	0.6007	1.0000	0.6007	0.25	1.40	0.6007	0.6400	OnHand
222	141.908	6.1164	1.5726	1.4805	2.1459	0.4858	1.00	0.7193	1.0000	0.7193	0.25	1.40	0.7193	0.6600	OnHand
223	142.484	6.1164	1.5726	1.4805	1.7331	0.4202	1.00	0.6221	1.0000	0.6221	0.25	1.40	0.6221	0.6400	OnHand
224	143.011	6.1164	1.5726	1.4805	1.9011	0.4455	1.00	0.6596	1.0000	0.6596	0.25	1.40	0.6596	0.6500	OnHand
225	143.689	6.1164	1.5726	1.4805	1.4749	0.3867	1.00	0.5724	1.0000	0.5724	0.25	1.40	0.5724	0.6300	OnHand
226	144.113	6.1164	1.5726	1.4805	2.3529	0.5212	1.00	0.7717	1.0000	0.7717	0.25	1.40	0.7717	0.6600	OnHand
227	144.643	6.1164	1.5726	1.4805	1.8904	0.4438	1.00	0.6571	1.0000	0.6571	0.25	1.40	0.6571	0.6500	OnHand
228	145.746	6.1164	1.5726	1.4805	0.9066	0.3394	1.00	0.5025	1.0000	0.5025	0.25	1.40	0.5025	0.6300	OnHand
229	146.210	6.1164	1.5726	1.4805	2.1505	0.4866	1.00	0.7204	1.0000	0.7204	0.25	1.40	0.7204	0.6400	OnHand
230	146.805	6.1164	1.5726	1.4805	1.6835	0.4132	1.00	0.6117	1.0000	0.6117	0.25	1.40	0.6117	0.6500	OnHand
231	147.314	6.1164	1.5726	1.4805	1.9646	0.4557	1.00	0.6746	1.0000	0.6746	0.25	1.40	0.6746	0.6300	OnHand
232	147.844	6.1164	1.5726	1.4805	1.8868	0.4433	1.00	0.6563	1.0000	0.6563	0.25	1.40	0.6563	0.6300	OnHand
233	148.353	6.1164	1.5726	1.4805	1.9646	0.4557	1.00	0.6746	1.0000	0.6746	0.25	1.40	0.6746	0.6600	OnHand
234	148.903	6.1164	1.5726	1.4805	1.8149	0.4322	1.00	0.6399	1.0000	0.6399	0.25	1.40	0.6399	0.6500	OnHand
235	149.433	6.1164	1.5726	1.4805	1.8904	0.4438	1.00	0.6571	1.0000	0.6571	0.25	1.40	0.6571	0.6600	OnHand
236	149.985	6.1164	1.5726	1.4805	1.8116	0.4317	1.00	0.6391	1.0000	0.6391	0.25	1.40	0.6391	0.6500	OnHand
237	150.472	6.1164	1.5726	1.4805	2.0492	0.4696	1.00	0.6952	1.0000	0.6952	0.25	1.40	0.6952	0.6600	OnHand
238	151.088	6.1164	1.5726	1.4805	1.6260	0.4054	1.00	0.6002	1.0000	0.6002	0.25	1.40	0.6002	0.6400	OnHand
239	151.596	6.1164	1.5726	1.4805	1.9685	0.4563	1.00	0.6756	1.0000	0.6756	0.25	1.40	0.6756	0.6500	OnHand
240	152.189	6.1164	1.5726	1.4805	1.6863	0.4136	1.00	0.6123	1.0000	0.6123	0.25	1.40	0.6123	0.6400	OnHand
241	152.682	6.1164	1.5726	1.4805	2.0284	0.4661	1.00	0.6901	1.0000	0.6901	0.25	1.40	0.6901	0.6500	OnHand
242	153.271	6.1164	1.5726	1.4805	1.7007	0.4156	1.00	0.6153	1.0000	0.6153	0.25	1.40	0.6153	0.6300	OnHand
243	154.160	6.1164	1.5726	1.4805	1.1236	0.3533	1.00	0.5230	1.0000	0.5230	0.25	1.40	0.5230	0.6200	OnHand
244	154.903	6.1164	1.5726	1.4805	1.3477	0.3729	1.00	0.5521	1.0000	0.5521	0.25	1.40	0.5521	0.5900	OnHand
245	155.347	6.1164	1.5726	1.4805	2.2422	0.5023	1.00	0.7436	1.0000	0.7436	0.25	1.40	0.7436	0.6200	OnHand
246	156.067	6.1164	1.5726	1.4805	1.3889	0.3772	1.00	0.5584	1.0000	0.5584	0.25	1.40	0.5584	0.5900	OnHand
247	156.620	6.1164	1.5726	1.4805	1.8116	0.4317	1.00	0.6391	1.0000	0.6391	0.25	1.40	0.6391	0.6000	OnHand
248	157.170	6.1164	1.5726	1.4805	1.8149	0.4322	1.00	0.6399	1.0000	0.6399	0.25	1.40	0.6399	0.6200	OnHand
249	157.764	6.1164	1.5726	1.4805	1.6863	0.4136	1.00	0.6123	1.0000	0.6123	0.25	1.40	0.6123	0.6300	OnHand
250	158.250	6.1164	1.5726	1.4805	2.0534	0.4703	1.00	0.6962	1.0000	0.6962	0.25	1.40	0.6962	0.6200	OnHand
251	158.868	6.1164	1.5726	1.4805	1.6260	0.4054	1.00	0.6002	1.0000	0.6002	0.25	1.40	0.6002	0.6300	OnHand
252	159.377	6.1164	1.5726	1.4805	1.9646	0.4557	1.00	0.6746	1.0000	0.6746	0.25	1.40	0.6746	0.6400	OnHand
253	159.989	6.1164	1.5726	1.4805	1.6260	0.4054	1.00	0.6002	1.0000	0.6002	0.25	1.40	0.6002	0.6300	OnHand
254	160.497	6.1164	1.5726	1.4805	1.9685	0.4563	1.00	0.6756	1.0000	0.6756	0.25	1.40	0.6756	0.6400	OnHand
255	161.093	6.1164	1.5726	1.4805	1.6807	0.4128	1.00	0.6111	1.0000	0.6111	0.25	1.40	0.6111	0.6300	OnHand
256	161.601	6.1164	1.5726	1.4805	1.9685	0.4563	1.00	0.6756	1.0000	0.6756	0.25	1.40	0.6756	0.6400	OnHand
257	162.237	6.1164	1.5726	1.4805	1.5699	0.3981	1.00	0.5894	1.0000	0.5894	0.25	1.40	0.5894	0.6300	OnHand
258	162.745	6.1164	1.5726	1.4805	1.9685	0.4563	1.00	0.6756	1.0000	0.6756	0.25	1.40	0.6756	0.6400	OnHand
259	163.360	6.1164	1.5726	1.4805	1.6287	0.4057	1.00	0.6007	1.0000	0.6007	0.25	1.40	0.6007	0.6300	OnHand
260	164.441	6.1164	1.5726	1.4805	0.9251	0.3404	1.00	0.5040	1.0000	0.5040	0.25	1.40	0.5040	0.6000	OnHand
261	164.992	6.1164	1.5726	1.4805	1.8116	0.4317	1.00	0.6391	1.0000	0.6391	0.25	1.40	0.6391	0.6000	OnHand
262	165.586	6.1164	1.5726	1.4805	1.6835	0.4132	1.00	0.6117	1.0000	0.6117	0.25	1.40	0.6117	0.6000	OnHand
263	166.138	6.1164	1.5726	1.4805	1.8149	0.4322	1.00	0.6399	1.0000	0.6399	0.25	1.40	0.6399	0.5900	OnHand
264	166.709	6.1164	1.5726	1.4805	1.7513	0.4228	1.00	0.6259	1.0000	0.6259	0.25	1.40	0.6259	0.6000	OnHand
265	167.832	6.1164	1.5726	1.4805	0.8897	0.3385	1.00	0.5012	1.0000	0.5012	0.25	1.40	0.5012	0.6000	OnHand
266	168.362	6.1164	1.5726	1.4805	1.8868	0.4433	1.00	0.6563	1.0000	0.6563	0.25	1.40	0.6563	0.6000	OnHand
267	168.978	6.1164	1.5726	1.4805	1.6234	0.4050	1.00	0.5997	1.0000	0.5997	0.25	1.40	0.5997	0.6000	OnHand
268	169.487	6.1164	1.5726	1.4805	1.9724	0.4569	1.00	0.6765	1.0000	0.6765	0.25	1.40	0.6765	0.6100	OnHand
269	169.889	6.1164	1.5726	1.4805	2.4814	0.5429	1.00	0.8038	1.0000	0.8038	0.25	1.40	0.8038	0.6400	OnHand
270	171.140	6.1164	1.5726	1.4805	0.7994	0.3342	1.00	0.4948	1.0000	0.4948	0.25	1.40	0.4948	0.6400	OnHand
271	171.670	6.1164	1.5726	1.4805	1.8868	0.4433	1.00	0.6563	1.0000	0.6563	0.25	1.40	0.6563	0.6400	OnHand
272	172.241	6.1164	1.5726	1.4805	1.7483	0.4224	1.00	0.6253	1.0000	0.6253	0.25	1.40	0.6253	0.6500	OnHand
273	172.772	6.1164	1.5726	1.4805	1.8868	0.4433	1.00	0.6563	1.0000	0.6563	0.25	1.40	0.6563	0.6400	OnHand
274	173.323	6.1164	1.5726	1.4805	1.8116	0.4317	1.00	0.6391	1.0000	0.6391	0.25	1.40	0.6391	0.6100	OnHand
275	173.873	6.1164	1.5726	1.4805	1.8182	0.4327	1.00	0.6406	1.0000	0.6406	0.25	1.40	0.6406	0.6400	OnHand
276	174.445	6.1164	1.5726	1.4805	1.7483	0.4224	1.00	0.6253	1.0000	0.6253	0.25	1.40	0.6253	0.6300	OnHand
277	174.975	6.1164	1.5726	1.4805	1.8868	0.4433	1.00	0.6563	1.0000	0.6563	0.25	1.40	0.6563	0.6400	OnHand
278	175.526	6.1164	1.5726	1.4805	1.8149	0.4322	1.00	0.6399	1.0000	0.6399	0.25	1.40	0.6399	0.6400	OnHand
279	176.016	6.1164	1.5726	1.4805	2.0450	0.4689	1.00	0.6942	1.0000	0.6942	0.25	1.40	0.6942	0.6500	OnHand
280	176.609	6.1164	1.5726	1.4805	1.6863	0.4136	1.00	0.6123	1.0000	0.6123	0.25	1.40	0.6123	0.6400	OnHand
281	177.096	6.1164	1.5726	1.4805	2.0534	0.4703	1.00	0.6962	1.0000	0.6962	0.25	1.40	0.6962	0.6500	OnHand
282	177.689	6.1164	1.5726	1.4805	1.6863	0.4136	1.00	0.6123	1.0000	0.6123	0.25	1.40	0.6123	0.6500	OnHand
283	178.156	6.1164	1.5726	1.4805	2.1413	0.4851	1.00	0.7181	1.0000	0.7181	0.25	1.40	0.7181	0.6600	OnHand
284	178.770	6.1164	1.5726	1.4805	1.6260	0.4054	1.00	0.6002	1.0000	0.6002	0.25	1.40	0.6002	0.6400	OnHand
285	179.257	6.1164	1.5726	1.4805	2.0534	0.4703	1.00	0.6962	1.0000	0.6962	0.25	1.40	0.6962	0.6600	OnHand
286	179.788	6.1164	1.5726	1.4805	1.8868	0.4433	1.00	0.6563	1.0000	0.6563	0.25	1.40	0.6563	0.6500	OnHand
287	180.338	6.1164	1.5726	1.4805	1.8149	0.4322	1.00	0.6399	1.0000	0.6399	0.25	1.40	0.6399	0.6600	OnHand
288	180.762	6.1164	1.5726	1.4805	2.3585	0.5222	1.00	0.7731	1.0000	0.7731	0.25	1.40	0.7731	0.6700	OnHand
289	181.419	6.1164	1.5726	1.4805	1.5221	0.3922	1.00	0.5807	1.0000	0.5807	0.25	1.40	0.5807	0.6600	OnHand
290	182.015	6.1164	1.5726	1.4805	1.6835	0.4132	1.00	0.6117	1.0000	0.6117	0.25	1.40	0.6117	0.6500	OnHand
291	182.543	6.1164	1.5726	1.4805	1.8868	0.4433	1.00	0.6563	1.0000	0.6563	0.25	1.40	0.6563	0.6500	OnHand
292	183.140	6.1164	1.5726	1.4805	1.6779	0.4124	1.00	0.6106	1.0000	0.6106	0.25	1.40	0.6106	0.6400	OnHand
293	183.646	6.1164	1.5726	1.4805	1.9763	0.4576	1.00	0.6774	1.0000	0.6774	0.25	1.40	0.6774	0.6200	OnHand
294	184.048	6.1164	1.5726	1.4805	2.4814	0.5429	1.00	0.8038	1.0000	0.8038	0.25	1.40	0.8038	0.6700	OnHand
295	184.748	6.1164	1.5726	1.4805	1.4306	0.3817	1.00	0.5650	1.0000	0.5650	0.25	1.40	0.5650	0.6600	OnHand
296	185.659	6.1164	1.5726	1.4805	1.0965	0.3513	1.00	0.5201	1.0000	0.5201	0.25	1.40	0.5201	0.6300	OnHand
297	186.252	6.1164	1.5726	1.4805	1.6863	0.4136	1.00	0.6123	1.0000	0.6123	0.25	1.40	0.6123	0.6300	OnHand
298	186.804	6.1164	1.5726	1.4805	1.8149	0.4322	1.00	0.6399	1.0000	0.6399	0.25	1.40	0.6399	0.6200	OnHand
299	187.652	6.1164	1.5726	1.4805	1.1792	0.3576	1.00	0.5295	1.0000	0.5295	0.25	1.40	0.5295	0.5700	OnHand
300	203.867	6.1164	1.5726	1.4805	0.0617	0.3178	1.00	0.4705	1.0000	0.4705	0.25	1.40	0.4705	0.5500	OnHand
301	206.114	6.1164	1.5726	1.4805	0.4450	0.3230	1.00	0.4781	1.0000	0.4781	0.25	1.40	0.4781	0.5400	OnHand
