dataset	step	gt	zFrac	aspect	rangeY	rangeZ	rmsZ	zPeakRatio	meanZ_offset	maxZ_offset	compactness	z_dominance	start_pY	start_pZ	n_samples
일반보행	1	ground	0.7809974036113189	1.4577534630935784	3.8112000000000004	5.55579	1.758184695241248	0.6583379650200035	-2.398459216	0.7606299999999999	3.851316193027783	0.3735757993866486	0.00260019	3.62186	25
일반보행	2	ground	0.9006336372940349	2.1858596257219816	2.197099	4.80255	1.6205858046853767	0.6871459356790116	-1.345413607142857	1.3626200000000002	3.309583167251687	0.2877167594665722	-0.0392571	2.19257	28
일반보행	3	ground	0.876787082113022	2.6749872761086007	2.945457	7.879059999999999	1.9467699242949452	0.7383841898727123	-0.7934399615384615	3.9400299999999997	2.971514349135804	0.530062403860075	0.335841	1.78769	26
일반보행	4	ground	0.759822035898094	2.2260751917245623	4.2132	9.3789	2.0383339249199075	0.7144474981503375	-1.3458186821212121	1.5721699999999998	4.828344056754897	0.5477803312837556	0.786235	1.93968	33
일반보행	5	ground	0.7845768493471329	1.7724759733270459	3.21421	5.69711	1.7450037799339853	0.6364119796673396	-0.9063521379310344	2.129	2.9780297246351264	0.5518638889926876	1.68093	1.61687	29
일반보행	6	ground	0.48814592211722213	1.0328311552539013	3.0757369999999997	3.176717	0.6968747195666181	0.5391691331681392	-1.314016854385965	0.7494099999999999	5.223348062627976	0.30623792236897707	-0.372876	1.8372	57
일반보행	7	ground	0.694374484900053	1.4097282586896862	2.192458	3.09077	0.8389698625748603	0.4559464074097556	-0.426566008	0.6784700000000001	2.844277908842668	0.8690425507842858	-0.38775	1.04348	25
일반보행	8	ground	0.8987176058984115	3.3480604043618043	2.025295	6.780810000000001	1.519600838944849	0.7695130232255524	-0.9590726166666667	3.1490800000000005	3.2193384624976584	0.9447255422400268	0.122503	1.04315	36
일반보행	9	ground	0.8467529304901275	2.1964358277242964	2.891275	6.3505	1.7820780470923014	0.6819141505464338	-1.7384690344827585	1.9748000000000006	2.683782236451289	0.5097515941289371	-0.654216	2.24333	29
일반보행	10	ground	0.7853324088007241	2.1338096994239533	2.99769	6.3965	1.5750202513356126	0.7044343546849636	-0.8634718407407407	2.90597	3.196084482759398	0.5733587664182757	0.629697	1.1419	27
일반보행	11	ground	0.519041999893095	1.0801389408826112	4.60051	4.96919	1.288411220115984	0.4678570813733085	-0.5226807896551724	2.299577	2.7743938718370624	0.8107886390925042	0.565414	0.693403	29
일반보행	12	ground	0.8015747818187852	1.8798734144856328	4.10159	7.71047	1.9746595970199616	0.6380209669479185	-0.4787077592592593	4.350485	2.5924518834440424	0.677342766426629	0.817827	0.620515	27
일반보행	13	ground	0.650327695325986	1.290201293766129	4.563969999999999	5.88844	1.6150694653447448	0.5298567113527757	-1.27713296	2.15964	2.261802894410979	0.6796231199604668	-0.419416	1.60549	25
일반보행	14	ground	0.6857494310026891	1.5003754411814914	3.645041	5.46893	1.4236382197103559	0.5654568460464089	-0.5144814285714286	3.0615680000000003	2.8057671893060485	0.7955244168368178	0.829071	0.602762	28
일반보행	15	ground	0.6530597374286683	1.0196671707181262	4.339465	4.42481	1.4469525211287064	0.4579861458962994	-1.1402386800000002	1.48925	2.8739209125233227	0.6040259101020764	-0.41903	1.38481	25
일반보행	16	ground	0.7093897721660786	1.1968492812674614	3.11548	3.72876	1.0811903315471043	0.539476556205195	-2.22784334375	0.0	3.5692076305635925	0.8254362806925266	-0.260334	2.24904	32
일반보행	17	ground	0.6894254335166663	1.1908840148168882	3.1105799999999997	3.7043399999999997	1.259060451079836	0.5853103618997534	-1.7142603200000002	0.6196999999999997	3.069132793391873	0.5673942211680262	-0.289714	1.93748	25
일반보행	18	ground	0.6727536689978538	1.4440622136831411	3.55225	5.12967	1.3269951624718839	0.6138203886659279	-0.976958963125	2.354838	3.649548252774979	0.602770454722337	0.634786	0.974622	32
일반보행	19	ground	0.5722775387684497	1.0381949278979092	4.52259	4.69533	1.2971505685111087	0.480899441015398	-1.432272723076923	1.1660200000000003	2.3573489531107517	0.7258698622965621	-0.448362	1.60889	26
일반보행	20	ground	0.7368591392022069	1.3981543937731797	3.37992	4.72565	1.394378718233383	0.541113958138944	-1.2989416827586207	1.4005100000000001	3.0904989177635223	0.41787072107983886	0.775543	1.32362	29
일반보행	21	ground	0.6108587702076139	1.0621148977172896	4.75361	5.0488800000000005	1.5017454266296884	0.46250632957746485	-1.025021388888889	1.7060499999999998	2.627934615991777	0.9356720005692544	0.467349	1.11627	27
일반보행	22	ground	0.7073884105596858	1.3161248737291404	3.5840899999999998	4.71711	1.362498429851471	0.5731864818452649	-1.5217842951724136	1.34108	3.4309951179333504	0.47218724504904347	0.657496	1.61024	29
일반보행	23	ground	0.5790602874898158	1.2208410730674693	3.9620800000000003	4.83707	1.3012471788781317	0.4980772647132671	-0.34446077407407405	2.455857	2.591970966932671	1.281387870344214	0.250015	0.431213	27
일반보행	24	ground	0.7446845564676563	1.3325249515377608	2.89055	3.85173	1.320892916405906	0.546313866570654	-2.0575592366666666	0.10841999999999996	3.3645826364261233	1.0326524445975804	0.834311	1.89246	30
일반보행	25	ground	0.725990644014283	1.5260903527324012	4.10899	6.27069	1.863797489110699	0.5955082972850312	-2.2996027192307693	1.40394	2.622274679335837	0.8436981887224944	-0.928639	2.36689	26
일반보행	26	ground	0.7341899987096947	1.5042166618582387	3.64032	5.47583	1.6765654329704154	0.6279463868935156	-0.7081021344827586	2.6498209999999998	3.070467510345116	0.7261410511303462	1.63393	0.655469	29
일반보행	27	ground	0.6330853047890616	1.0424356066186342	5.0556600000000005	5.2702	1.6308287145838438	0.48860009797232806	-2.4192281346153846	0.81935	2.437027821901463	0.560502184551025	-0.634935	2.59938	26
일반보행	28	ground	0.7653343373009601	1.711004652295654	2.75956	4.72162	1.379054261049337	0.6335238953074903	-0.6534056333333333	2.124297	3.234809672318343	0.7651543892479126	1.1999	0.571873	30
일반보행	29	ground	0.6805298555405572	1.2805003524614642	4.08192	5.2269000000000005	1.526784308853415	0.5645856765324795	-1.4355441346153845	1.6906800000000002	2.4575439126561114	0.5898533985564275	-0.174373	1.5971	26
