dataset	step	gt	start_pY	start_pZ	rangeY	rangeZ	aspect	zFrac	area	path_len	meanZ_offset	maxZ_offset	angle_deg	quadrant	n_samples
일반보행	33	ground	0.267607	0.709849	4.11498	4.87163	1.1838766691753861	0.6131290117604747	7.361117516118998	17.42749138240778	-0.5326155357142857	2.4972710000000005	-119.45111932772133	1	28
일반보행	34	ground	1.33117	0.318188	4.60004	5.5571	1.2080544499494679	0.580565863428844	5.6125467336287995	24.402160112095192	-0.4647496161290323	2.999952	-159.98545675822834	1	31
일반보행	35	ground	-0.162334	1.60711	3.54497	5.18764	1.4633800953519789	0.7627927824730353	4.957709266843799	17.108749456493285	-1.4515887444444444	1.7577500000000001	-88.7137765216786	2	27
일반보행	36	ground	0.510527	0.744042	3.92006	5.84059	1.4899232435413632	0.7286936572046401	5.817511267719398	18.869585570092706	-0.7445300333333333	2.983288	-117.9258564011975	1	30
일반보행	37	ground	0.145927	0.918794	4.25408	5.310639999999999	1.2483636301236387	0.7083550343136324	6.517200117754499	18.92131911421067	-0.8698521481481482	2.005966	-107.03179077560958	1	27
일반보행	38	ground	1.30146	0.277223	5.2707	6.83386	1.2965751614443695	0.6685835001815557	9.338480870787897	26.23589558877005	-0.33981684666666667	4.243327	-163.46738659659485	1	30
일반보행	39	ground	-0.291064	1.30145	4.786709999999999	5.10008	1.0654664549416082	0.61658357951146	5.737464165540548	20.066815969409358	-1.12275215	1.7189899999999998	-83.55598861917052	2	28
일반보행	40	ground	1.16884	0.379426	3.5734	5.6488700000000005	1.580810549949474	0.63642812130468	8.70625859672625	21.440175014491228	-0.529775324137931	2.709294	-149.55341348405221	1	29
일반보행	41	ground	0.0721869	1.26313	5.519909999999999	5.22011	0.9456873489445754	0.5403903387742793	6.828481711956497	21.218483805509752	-1.0729851642857144	1.9481999999999997	-104.3743754170662	1	28
일반보행	42	ground	1.33453	0.54104	5.07732	5.33702	1.0511488243504792	0.6507650108550185	9.7264794705438	24.341814926060874	-0.5906572903225806	2.95988	-152.0722820935095	1	31
일반보행	43	ground	0.200483	2.46569	4.60322	6.0997699999999995	1.3251090920900819	0.722840065411116	10.096920622159999	20.615159059287034	-2.3448375555555554	1.4551699999999999	-98.63587501182494	1	27
일반보행	44	ground	0.861858	1.26668	4.47463	5.63763	1.259909476334473	0.6924696856736953	8.5116180837387	22.761645261740497	-1.19819898125	2.47521	-122.30298451996613	1	32
일반보행	45	ground	-0.5623	2.08007	5.49892	6.25903	1.1382287543319862	0.6484027314659497	8.914958380253598	17.411382732231523	-1.976953476923077	1.7715999999999998	-75.67877842934227	2	26
일반보행	46	ground	1.51754	0.67006	3.91263	6.17426	1.5780327866338533	0.7297464356781249	6.542815827450399	23.683422754854156	-0.7362429699999999	3.22481	-153.65380514886704	1	30
일반보행	47	ground	-0.215648	1.22178	5.5807	6.2064699999999995	1.112130895383931	0.631863099847855	7.36486787341431	18.27590349352092	-1.0778842407407407	2.60388	-86.17973301126577	2	27
일반보행	48	ground	1.9193	1.46372	4.23896	5.78565	1.3648745529859796	0.6762262565655943	5.9261923614584004	24.782980897761085	-1.5112445133333332	2.13055	-139.8178427216399	1	30
일반보행	49	ground	0.40103	0.673547	4.953749999999999	7.2518	1.4639007895229295	0.7200450446886879	9.167265278308566	22.765388300683064	-0.5263418581481482	3.046293	-142.01540100018363	1	27
일반보행	50	ground	0.867877	1.36586	3.1011100000000003	4.34016	1.3995500322303844	0.7803547638711618	1.09212339655015	19.8849013105827	-1.3569536156250002	1.3656699999999997	-119.86994281614115	1	32
일반보행	51	ground	-0.300879	1.21173	3.75805	5.48629	1.4598764093409058	0.6289472718387297	6.5108597057473006	14.52639056382151	-1.2930195323076923	1.8329600000000001	-75.58448181591106	2	26
일반보행	52	ground	1.36658	0.366923	3.34508	6.29011	1.8804058855376	0.7992030504146465	7.623102418787502	21.490242339444112	-0.3551641333333333	3.146287	-164.98838691866294	1	30
일반보행	53	ground	-0.203682	1.97972	5.4496199999999995	7.3659099999999995	1.3516371138469996	0.666795400134869	9.370526830485998	21.465851505309864	-1.8046990769230769	2.3800399999999997	-88.38763534912161	2	26
일반보행	54	ground	1.07074	0.887387	3.3018099999999997	5.1409400000000005	1.5570061399637958	0.8069362412617461	3.4119796547209997	18.076785042931174	-0.9187235866666668	2.111303	-139.90715026268933	1	30
일반보행	55	ground	-0.401657	1.77053	4.61696	7.00073	1.516306938698421	0.7032149184887704	7.3705722160971	20.634021015128948	-1.6201644185185184	2.32611	-77.82872970483521	2	27
일반보행	56	ground	0.400382	1.51522	3.27825	6.34557	1.9356571537688847	0.8303009342197303	3.793761420284799	23.608179585722727	-1.5531202689655172	2.14187	-99.45902643269625	1	29
일반보행	57	ground	-0.657482	2.74374	5.6801200000000005	7.20884	1.2691349356818278	0.6839020534793177	9.841875055903998	21.12132797530737	-2.5732968076923077	1.1926400000000004	-77.68665546629448	2	26
일반보행	58	ground	1.67365	1.67722	3.58521	5.38856	1.502996615819822	0.7291102213985315	7.4872470269175135	24.31266505284587	-1.6300652877419355	1.50974	-135.77643378112748	1	31
일반보행	59	ground	-0.683222	2.76674	5.64413	7.31565	1.296151701652566	0.6374239124647227	6.767684986145402	23.011606205649407	-2.6637642962962964	1.6848300000000003	-74.32787363360518	2	27
일반보행	60	ground	1.1831	1.49298	3.39137	6.75257	1.9911033030594412	0.8041662323448238	7.019841893328992	20.6787795038697	-1.4382342068965517	2.7445899999999996	-128.4671236452456	1	29
일반보행	61	ground	-0.117522	1.27464	5.32387	6.660170000000001	1.251001386021562	0.6677465373954894	3.6568827048216495	20.044725871517155	-1.2096796653846154	3.3242400000000005	-87.095802521893	2	26
일반보행	62	ground	0.640963	1.16185	2.76921	5.00906	1.8088401353309658	0.8055988334354252	4.794476220870139	17.781051614198294	-1.1221156	1.8505299999999998	-124.38682488641078	1	30
일반보행	63	ground	-0.321669	1.59821	5.02074	8.06442	1.6062210737419038	0.751055389325069	2.719591166865248	23.18199914483008	-1.5743777962962962	3.74754	-78.39630413438198	2	27
일반보행	64	ground	1.16085	0.75047	3.40673	5.5647400000000005	1.6334544758597025	0.8124814932541757	5.720418594240449	20.409206965171556	-0.7351837766666667	2.51369	-156.3874126037164	1	30
일반보행	65	ground	-0.878986	1.27325	4.034571	7.241070000000001	1.7947554288286343	0.7332564752181276	0.6098287325251697	20.36350877391658	-1.105410083548387	3.49169	-60.99295944602581	2	31
일반보행	66	ground	-0.418041	0.660347	2.538511	6.72632	2.6497097512243393	0.8614506431823651	7.704529740091701	18.742141207575504	-0.8222013666666667	3.7656730000000005	-95.03914184833408	2	27
일반보행	67	ground	0.354241	0.959319	2.485995	7.40947	2.980483476240509	0.8723759952976217	7.2367487874218	16.921565604239973	-0.89972299	3.704941	-73.88333395296846	1	30
일반보행	68	ground	0.279714	0.868704	3.3237970000000003	7.3505400000000005	2.211488183096566	0.9020819343635473	0.4623422372605006	32.17464450687983	-0.836968835483871	3.533676	-63.722801177727845	1	31
일반보행	69	ground	-0.368707	2.13551	2.806517	5.43907	1.9380135812419517	0.7662971920515866	0.16815642521799926	20.208021050330373	-1.5549041923076923	1.56874	-56.82998687103886	2	26
일반보행	70	up	0.0689925	1.25109	3.39832	4.3483	1.2795436334589934	0.7811783578447901	3.9432915365117407	21.91669392671108	-1.2128899151515151	1.13536	-89.30832378432373	1	33
일반보행	71	up	0.231861	0.981754	2.263154	6.317690000000001	2.791541012436179	0.9066043657854876	5.403279245249752	19.195884481670465	-0.8864945517241379	2.883896	-75.42921815034619	1	29
일반보행	72	up	0.0568919	1.15223	2.511524	3.88926	1.5485651148206767	0.8317963468833016	5.868924994103244	20.137109703823732	-1.1191166000000001	1.0087399999999997	-107.83073551896284	1	31
일반보행	73	up	-0.382758	1.24444	2.824251	6.00601	2.1265843132978217	0.8336708658117773	3.842845690060048	23.188782193928933	-1.2356752592592593	2.3859	-58.124238640814376	2	27
일반보행	74	up	0.786025	0.518451	2.347083	5.30331	2.259531401517798	0.8865484579355086	4.118607785574051	19.111647545204892	-0.74321962	2.030289	-138.79217169312352	1	30
일반보행	75	up	-0.129592	0.656809	1.7099739999999999	5.523339999999999	3.2300706150674716	0.9302459766152282	3.16765137759255	17.5799960400219	-0.5451056896551725	2.691181	-51.91988631051868	2	29
일반보행	76	up	0.0621663	0.812319	1.979234	5.24934	2.6522065343428145	0.8937420580608051	5.67080627837809	16.54023144987547	-0.88564603125	1.7283110000000002	-107.16042389817605	1	32
일반보행	77	up	-0.118505	1.10174	1.293173	5.29859	4.097352715102531	0.9644457003923295	1.4422299971989796	15.632797298611685	-0.9517551880645161	2.5132600000000003	-69.04832343980976	2	31
일반보행	78	up	0.0751258	1.36865	2.2113319999999996	6.4453499999999995	2.914689917800711	0.9276292509857803	5.08971403476305	21.097513648509572	-1.5566381741935482	2.4183399999999997	-105.76100264677312	1	31
일반보행	79	up	-0.370744	1.4814	2.1516669999999998	4.35462	2.023834532093241	0.8808585075916425	0.5678124221934997	16.747278946003956	-1.3201904117647059	0.9094999999999998	-58.96348502609762	2	34
일반보행	80	up	0.519519	1.53589	2.297122	6.28207	2.7347556051635022	0.9270149152711173	6.51475639645845	14.966576478581906	-1.5941872142857143	1.79743	-119.02039560611293	1	28
일반보행	81	up	-0.146696	0.880822	2.389825	5.05565	2.115488742695075	0.8120140725023371	2.9615988779530857	23.46842542904037	-1.0284646948717948	1.697478	-54.12112759886612	2	39
일반보행	82	ground	0.847265	1.63731	2.254199	4.28622	1.9014373170082512	0.8073323808529735	4.263781448645199	16.789031813992917	-1.5984602903225806	1.0469600000000001	-118.70428853805853	1	31
일반보행	83	ground	-0.189111	1.93212	2.62458	4.90066	1.8672161384998216	0.7846005367328026	6.059435808637851	18.170562659707613	-1.781853653846154	0.7539999999999998	-84.8046462264298	2	26
일반보행	84	ground	1.11272	0.865652	4.5622799999999994	5.350479999999999	1.172764237888898	0.5771893755807473	0.27915200856689976	28.78436379362737	-0.86682	2.191748	-151.4949684411981	1	33
일반보행	85	ground	-0.395938	1.54453	3.935337	5.5453399999999995	1.4091140328988259	0.6248371885951775	4.9041181551585	20.34999459630824	-1.3848503851851852	1.82248	-121.60017528360487	2	27
일반보행	86	ground	0.133457	1.72455	2.77677	5.02011	1.80789485341067	0.8683262062175694	5.2464767594826	25.067712510159545	-1.449041124137931	1.3896	-100.34064849409772	1	29
일반보행	87	ground	-0.216146	0.937271	3.74844	6.39369	1.7056931134837123	0.7519904101609141	2.518707762925161	32.1146369253685	-0.7377455945945945	3.4631290000000003	-77.47281823415403	2	37
일반보행	88	up	0.676372	0.798563	2.2341860000000002	5.84976	2.618294708544987	0.8746554084771209	6.44523899152895	18.634360266314047	-0.9010744516129032	2.512907	-93.8731821691576	1	31
일반보행	89	up	0.717849	0.489959	3.16819	5.9456	1.8766545325076673	0.8387151773224264	9.752448988356601	23.991732815000507	-0.4633512647058823	3.171771	-153.5340919894202	1	34
일반보행	90	up	0.847619	1.51969	2.702108	5.39457	1.9964294556585245	0.8399955702081958	6.692529600894499	17.659424329140062	-1.5386243	1.3099200000000002	-103.55271892846392	1	30
일반보행	91	up	-0.308648	1.12218	1.3248060000000002	5.8423	4.40992537026148	0.9516339104440578	1.7515097100300299	16.700753459685668	-1.1755115006666665	2.0656100000000004	-88.13024261820068	2	30
일반보행	92	up	0.115091	1.39745	2.131726	5.95603	2.7939928518051325	0.9377081259433954	3.8699015340268	17.51644458973199	-1.3732357333333334	2.17915	-76.16802216041896	1	30
일반보행	93	up	0.118215	1.23799	1.89118	6.75817	3.5735183464723894	0.9493667287486401	0.7342578056989499	19.037482672986815	-1.2537730967741934	2.4017500000000003	-105.83463266807044	1	31
일반보행	94	up	0.0797236	1.73348	2.8166200000000003	6.78388	2.408517155840278	0.9154656855704648	7.549827502852397	21.21691144823931	-1.700436912121212	2.22178	-85.73192315826483	1	33
일반보행	95	up	-0.579113	1.0103	2.418329	6.626519999999999	2.740122315812978	0.9296400553362598	2.4959434421836	21.385042401942012	-0.9803407096774194	2.8743	-75.60580646686546	2	31
일반보행	96	up	-0.382693	0.903835	2.852042	6.3421	2.2237042008132417	0.8918669549416703	8.81791543178319	19.112852099164037	-0.8392994133333334	2.821025	-46.13601155171214	2	30
일반보행	97	up	-0.229434	0.840498	2.4438310000000003	6.23724	2.5522376333561385	0.89995989452386	2.024267791457751	23.397756975549665	-0.8837876272727272	3.192762	-93.89083574377237	2	33
일반보행	98	up	-0.8315	0.882178	2.8570599999999997	8.80115	3.0804907560601613	0.9470257628628195	12.121334409908897	26.462351366256758	-1.0018008857142857	4.760502000000001	-53.391346701927645	2	35
일반보행	99	ground	-0.49588	1.29005	2.442285	6.204280000000001	2.540357681287122	0.8972321329238921	4.997615164331901	17.42315874934275	-1.2168190714285714	2.1575800000000003	-101.54312942188346	2	28
일반보행	100	ground	-0.532352	0.593594	3.78653	5.96382	1.5750088933644013	0.712170296896246	8.004680234005	27.213244423319626	-0.636018	2.490246	-34.92892522381593	2	34
일반보행	101	ground	0.304042	-0.287485	2.962973	7.47453	2.522644478149319	0.8498108556246974	1.0596394840178922	20.967082295548753	0.4565369923076923	5.778995	135.77261617019747	4	26
일반보행	102	ground	-0.26583	0.985546	3.67638	6.63711	1.805337912474251	0.7102082404459809	7.573274901096	25.0337552919969	-1.0102625833333334	3.5875839999999997	-62.23872264916857	2	30
일반보행	103	ground	0.281896	1.92712	4.34444	7.813420000000001	1.7984868479051739	0.7718834732150437	7.3558049167891255	21.73994452583826	-1.8727854074074073	2.85075	-95.70094950705695	1	27
일반보행	104	ground	-1.15191	0.693425	4.11145	6.78608	1.6505316492887792	0.7515208274711603	9.320001917000546	26.4400723246476	-0.6963210612903226	3.7393449999999997	-21.5479543501504	2	31
일반보행	105	ground	0.906366	1.85911	4.22576	7.1150400000000005	1.6837298654609194	0.8084834758789893	4.31371492654985	23.814714942604105	-1.655973025	2.95245	-108.55290607277327	1	28
일반보행	106	ground	0.134447	0.53779	3.059252	4.81243	1.5730735574991672	0.7819568273791148	6.952106179383498	21.599282957243894	-0.681339551724138	1.7374699999999998	-35.64983510446639	1	29
일반보행	107	ground	1.33228	1.24873	2.768047	7.4008	2.6736530580394557	0.855201117575617	1.1342478908730493	21.73733668771049	-0.9154177241379309	3.59016	-137.87789881309126	1	29
일반보행	108	ground	1.06377	0.321796	3.40809	4.95485	1.4538490902971781	0.695305756947646	0.2548469491641625	18.620475039075334	-0.4187560064516129	1.9882339999999998	-155.19402240783958	1	31
일반보행	109	ground	-0.763873	0.962951	5.23407	6.2896	1.2016650137149458	0.550554967870074	8.18732334781575	32.81222406880604	-0.780373609090909	3.171759	-60.94146396173439	2	33
일반보행	110	ground	-1.13235	2.33865	4.42109	6.54471	1.480338224207554	0.652544376626017	14.884232647218525	26.038736535954357	-2.4619763679999997	1.0851900000000003	-92.33067356198158	2	25
일반보행	111	ground	-0.659424	1.17125	2.859565	7.108979999999999	2.4860345940607766	0.8567346385126396	5.6345924428667	22.6874808762949	-1.0604499666666667	3.59713	-82.60851771500987	2	30
일반보행	112	ground	0.826575	0.204895	3.27592	5.61625	1.7144033693120193	0.6845279603740032	10.331309906959342	26.51592401478984	-0.22895444912903226	2.450245	-169.36268096082605	1	31
일반보행	113	ground	0.303882	1.53164	1.4198490000000001	7.0802499999999995	4.986618304750501	0.962752563219052	1.08551742865376	18.627436925135484	-1.3771355749999998	3.39456	-96.37779909769196	1	28
일반보행	114	ground	0.52493	0.68838	3.30673	6.89609	2.085470514535352	0.806686693161919	15.273170791196494	20.924711977784614	-0.8682585896551724	3.40244	-119.25085737486877	1	29
일반보행	115	ground	0.30531	0.951998	3.13463	6.226459999999999	1.9863454422546063	0.8734046333899621	3.8317740535374494	18.334316328362096	-0.716274325	3.4338719999999996	-88.12344474637001	1	28
일반보행	116	ground	0.297729	-0.0395721	3.45238	6.03672	1.7485671482956255	0.7835224900171801	6.067638222346449	23.41299819251717	-0.13656051612903225	3.4784221	-164.63673471600492	4	31
일반보행	117	ground	-0.433727	1.54274	3.67262	7.41904	2.020094096287093	0.874710038908086	3.0319400017710003	20.19083837786408	-1.4012903571428572	3.2102399999999998	-73.96415370862816	2	28
일반보행	118	ground	0.0762019	0.932226	2.837078	7.07446	2.4935717334624803	0.8647254412285054	3.2098730149243493	32.81565022102198	-0.931836534375	3.3840139999999996	-113.48767121531583	1	32
일반보행	119	ground	-0.800035	0.589283	2.736745	6.5756499999999996	2.4027257187915865	0.895042567444999	9.369384516896174	27.041757170869918	-0.9517722891891891	3.250337	-44.287730620663446	2	37
일반보행	120	down	-0.521834	3.83962	2.3228429999999998	8.584050000000001	3.69549138900417	0.9613130897661716	2.703688876855352	21.635132495046946	-3.8152435884615383	0.4802200000000001	-96.14796571389267	2	26
일반보행	121	down	0.575753	2.92872	3.106065	8.10854	2.6105498080208207	0.9398314175768822	3.7772323434060002	22.59094753433277	-2.601373896551724	1.8533799999999996	-87.25203492604805	1	29
일반보행	122	down	-0.803465	4.7821	2.4020799999999998	10.87131	4.525788264425721	0.9771624860368041	0.6825059674249994	24.908236691039686	-4.8674536538461535	0.8704999999999998	-85.94823234881167	2	26
일반보행	123	down	0.77587	4.05261	2.882123	10.65193	3.695861107988414	0.9592244738525534	2.962863715026101	33.28980967458564	-3.7254206999999995	2.4125700000000005	-93.81911958310293	1	30
일반보행	124	down	0.721011	4.86603	3.091421	11.52887	3.7293096833754817	0.964799813126411	15.433645883767918	26.752516347560864	-4.681588069230769	2.4479499999999996	-104.43130036083441	1	26
일반보행	125	down	0.595003	5.08651	2.622114	11.39131	4.344321282628718	0.9664945033307107	2.800120332831501	30.22682406584364	-4.970402285714285	1.4340900000000003	-90.63679434279936	1	28
일반보행	126	down	-0.0862516	2.58241	2.082142	9.83164	4.721885096268603	0.9731965152121032	0.7139272237918	25.276593191521037	-2.3255228518518516	3.1016	-103.21524495987131	2	27
일반보행	127	down	-0.810403	0.361713	3.278933	8.9617	2.733113871764421	0.9146784443395473	14.571548558327002	33.32781247600607	-0.45589217241379315	3.8122670000000003	-18.15217420134551	2	29
일반보행	128	down	-0.454817	3.99298	2.099253	11.41506	5.437674526284098	0.978211390994289	0.7530253823649998	28.58963623475665	-3.6516800000000003	2.5207299999999995	-91.8487605677999	2	27
일반보행	129	down	-0.98606	4.95734	3.5382300000000004	11.462299999999999	3.2395567163364962	0.9186678833608067	11.9177874818656	33.59082520248507	-4.92097665	1.5626299999999995	-75.01280394996554	2	28
일반보행	130	down	0.109566	1.91539	1.807096	8.87017	4.908519022498516	0.9567189156418666	1.2683524627549003	26.408116131176204	-1.3129662615384614	4.1714199999999995	-129.0655841496494	1	26
일반보행	131	down	-1.44861	0.0929835	3.24281	4.52333	1.3948793192079338	0.7782251660589006	1.9322775669282706	24.73764098764358	0.4670913866666667	2.9016565	15.354761176538725	2	33
일반보행	132	ground	0.907143	2.91916	2.600783	6.43283	2.4734195534884864	0.8703308994857213	1.7940768054310097	27.419068153211285	-2.910082496896552	0.34704999999999986	-115.18646889928506	1	29
일반보행	133	ground	0.376651	0.188692	3.14173	6.18013	1.9671098512253278	0.8129055401651413	1.3995058065451502	17.598756211203234	-0.4380966464285714	3.5868979999999997	-130.1533369230496	1	28
일반보행	134	ground	-0.0713304	1.26964	3.266408	5.7345	1.7555976609175394	0.7520789230014454	10.710668854598207	22.207897513978402	-1.2788541481481484	1.6960299999999997	-59.70060325103508	2	27
일반보행	135	ground	-0.287143	1.2998	4.381616	5.46707	1.2477288635679475	0.7968387351156011	9.534502471819899	19.882046684558738	-1.1312918148148148	2.20366	-59.528970644915894	2	27
일반보행	136	ground	0.396681	0.653342	2.275639	3.64454	1.6015450598512946	0.7843572401869593	6.946854190241498	20.6295464782545	-0.6638155483870968	1.0382380000000002	-73.80301330691998	1	31
일반보행	137	ground	0.79052	0.950838	1.79923	5.71655	3.177218489454661	0.9075646930625336	5.157443537094299	24.79922091228306	-1.3689365324324323	1.961672	-124.96020668448072	1	37
일반보행	138	down	-0.176458	1.45742	1.993034	6.8939	3.458995953407743	0.9378173514680368	2.6055685669012	17.328093549882276	-1.5457437037037036	1.64786	-66.03128335164351	2	27
일반보행	139	down	0.503021	1.56236	1.8507609999999999	8.1645	4.4114262125546135	0.9578480191857277	0.2463635141800593	27.28408379349131	-1.4814540322580645	2.05226	-122.16541240381883	1	31
일반보행	140	down	-0.133896	3.36695	1.993273	8.844719999999999	4.437282581320982	0.9731834146832278	0.16828034043700035	25.952922778270384	-3.169314535714286	1.5829399999999998	-79.89431678685347	2	28
일반보행	141	down	1.41079	4.94989	4.16023	11.77448	2.8302466858210518	0.9107321531219948	7.902841482334999	31.92792885513544	-4.865674392857143	1.8724800000000004	-115.19884927903442	1	28
일반보행	142	down	-0.293023	2.41521	1.8481519999999998	10.19726	5.517541026094702	0.9797931911860818	4.92012689741093	24.988180714142835	-2.100341942857143	3.1406599999999996	-69.38138722440162	2	28
일반보행	143	down	-0.334951	5.55587	3.0914349999999997	9.930900000000001	3.212390617175967	0.9001590248691763	3.728859296159001	28.008755958256124	-5.410436413793103	0.24754000000000076	-92.99029967084418	2	29
일반보행	144	down	-1.25326	0.566452	2.61665	9.45046	3.6116623882971015	0.9734664230287686	5.594368414149998	29.276834860006968	-0.3980398928571428	4.189288	-13.06465153314043	2	28
